,plant_name,Plant Code,State,Sector Name,Prime Movers,Fuel Types,Primary Technology,withdrawal_volume_million_gallons,discharge_volume_million_gallons,consumption_volume_million_gallons,energy_category,map_link,longitude,latitude
9872,Shrewsbury Solar,57990,MA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-71.695833,42.266111&level=14",-71.695833,42.266111
9873,Shuman Solar,61244,MA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-71.066039,42.114918&level=14",-71.066039,42.114918
9874,Shungnak,57063,AK,Electric Utility,IC,DFO,Petroleum Liquids,,,,Petroleum,"map/?center=-157.140206,66.888114&level=14",-157.140206,66.888114
9875,Shute Creek Facility,56312,WY,Industrial CHP,GT,NG,Natural Gas Fired Combustion Turbine,,,,Natural Gas,"map/?center=-110.0904,41.8805&level=14",-110.0904,41.8805
9876,Sibley Mill,54322,GA,Industrial Non-CHP,HY,WAT,Conventional Hydroelectric,,,,Renewable Energy Sources,"map/?center=-81.99252,33.487881&level=14",-81.99252,33.487881
9877,Sibley No Two,7060,IA,Electric Utility,IC,DFO,Petroleum Liquids,,,,Petroleum,"map/?center=-95.74966,43.396851&level=14",-95.74966,43.396851
9878,Sibley One,1184,IA,Electric Utility,IC,DFO,Petroleum Liquids,,,,Petroleum,"map/?center=-95.7261,43.405&level=14",-95.7261,43.405
9879,Sidney,67330,ME,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-69.72615,44.45085&level=14",-69.72615,44.45085
9880,Sidney (NE),2302,NE,Electric Utility,IC,"DFO, NG",Multiple,,,,Other,"map/?center=-102.977836,41.145634&level=14",-102.977836,41.145634
9881,Sidney (OH),2852,OH,IPP Non-CHP,IC,DFO,Petroleum Liquids,,,,Petroleum,"map/?center=-84.19097,40.27917&level=14",-84.19097,40.27917
