POP100,GEOID,CENTLAT,AREAWATER,STATE,BASENAME,OID,LSADC,FUNCSTAT,INTPTLAT,NAME,OBJECTID,TRACT,CENTLON,HU100,AREALAND,INTPTLON,MTFCC,UR,COUNTY,error,lat,lng
4462.0,06061021902,+39.0082773,634863.0,06,219.02,20790681492673,CT,S,+39.0099870,Census Tract 219.02,24507.0,021902,-121.0228160,1894.0,24534692.0,-121.0196030,G5020,R,061,,,
2840.0,41059950300,+45.8903106,47030.0,41,9503,20790448396589,CT,S,+45.8971282,Census Tract 9503,55649.0,950300,-118.5633784,1233.0,506441798.0,-118.5623225,G5020,R,059,,,
6669.0,55087012000,+44.2581993,492887.0,55,120,20790155537549,CT,S,+44.2619946,Census Tract 120,25802.0,012000,-088.3080398,2591.0,8121287.0,-088.3095341,G5020,U,087,,,
6669.0,55087012000,+44.2581993,492887.0,55,120,20790155537549,CT,S,+44.2619946,Census Tract 120,25802.0,012000,-088.3080398,2591.0,8121287.0,-088.3095341,G5020,U,087,,,
2484.0,06077004001,+38.1371064,18910159.0,06,40.01,2079018476054,CT,S,+38.1292231,Census Tract 40.01,10479.0,004001,-121.4661322,968.0,280845806.0,-121.4444155,G5020,R,077,,,
3800.0,06037143700,+34.1289815,0.0,06,1437,207901115293262,CT,S,+34.1289815,Census Tract 1437,60364.0,143700,-118.3568128,2106.0,3287546.0,-118.3568128,G5020,U,037,,,
4581.0,13195020300,+34.0822963,2354338.0,13,203,20790382290396,CT,S,+34.0789009,Census Tract 203,45808.0,020300,-083.0885967,1871.0,174812423.0,-083.0892357,G5020,R,195,,,
4885.0,33009960300,+44.2032504,8357679.0,33,9603,20790301639822,CT,S,+44.1939726,Census Tract 9603,26821.0,960300,-071.9124359,2577.0,451042672.0,-071.9144889,G5020,R,009,,,
4456.0,48029171602,+29.4222234,31507.0,48,1716.02,207903717208261,CT,S,+29.4229398,Census Tract 1716.02,40670.0,171602,-098.6023056,1498.0,8127748.0,-098.6080692,G5020,U,029,,,
4456.0,48029171602,+29.4222234,31507.0,48,1716.02,207903717208261,CT,S,+29.4229398,Census Tract 1716.02,40670.0,171602,-098.6023056,1498.0,8127748.0,-098.6080692,G5020,U,029,,,
3046.0,51001090202,+37.9373073,2763533.0,51,902.02,2079015501440876,CT,S,+37.9373260,Census Tract 902.02,40758.0,090202,-075.5516494,1516.0,120052501.0,-075.5614807,G5020,R,001,,,
5994.0,34039032500,+40.6874906,20909.0,34,325,20790315465781,CT,S,+40.6871222,Census Tract 325,17978.0,032500,-074.2207679,1955.0,2279888.0,-074.2217626,G5020,U,039,,,
802.0,06025010300,+32.9814152,338212.0,06,103,207901284157358,CT,S,+32.9827303,Census Tract 103,63520.0,010300,-115.4678246,297.0,467707929.0,-115.4711527,G5020,M,025,,,
2696.0,27081201002,+44.2606067,11469590.0,27,2010.02,207903143921232,CT,S,+44.2607134,Census Tract 2010.02,53562.0,201002,-096.2721447,1427.0,407200169.0,-096.2721881,G5020,R,081,,,
2728.0,27105105100,+43.7274249,6256195.0,27,1051,20790290483899,CT,S,+43.7253796,Census Tract 1051,32068.0,105100,-095.6328151,1223.0,751054924.0,-095.6233171,G5020,M,105,,,
2670.0,17051950500,+39.1072768,490334.0,17,9505,20790199457546,CT,S,+39.1054899,Census Tract 9505,10688.0,950500,-088.8604511,1210.0,210727536.0,-088.8584018,G5020,R,051,,,
5168.0,29147470500,+40.3157338,786403.0,29,4705,20790409754306,CT,S,+40.3233480,Census Tract 4705,28554.0,470500,-094.7442179,2041.0,833630054.0,-094.7426572,G5020,M,147,,,
5653.0,48451001600,+31.3826166,286561.0,48,16,20790374773745,CT,S,+31.3868480,Census Tract 16,59289.0,001600,-100.2671644,2191.0,1698819167.0,-100.2761085,G5020,M,451,,,
5396.0,55055100100,+43.1678646,400880.0,55,1001,207901916514162,CT,S,+43.1692278,Census Tract 1001,73989.0,100100,-088.7087236,2348.0,17309375.0,-088.7094245,G5020,M,055,,,
9240.0,37025042603,+35.3528666,0.0,37,426.03,207903717623577,CT,S,+35.3528666,Census Tract 426.03,588.0,042603,-080.6537615,3668.0,22287327.0,-080.6537615,G5020,U,025,,,
6064.0,37025041202,+35.4549198,10953.0,37,412.02,2079015489404780,CT,S,+35.4582060,Census Tract 412.02,26748.0,041202,-080.6700249,2730.0,23548404.0,-080.6715841,G5020,M,025,,,
6506.0,25017361300,+42.4773348,1763189.0,25,3613,20790260105697,CT,S,+42.4904280,Census Tract 3613,81770.0,361300,-071.3496524,2471.0,33922990.0,-071.3531968,G5020,M,017,,,
1995.0,41021960100,+45.3776833,46914702.0,41,9601,20790527310632,CT,S,+45.3829550,Census Tract 9601,20989.0,960100,-120.2104980,1095.0,3120213943.0,-120.2762460,G5020,R,021,,,
3357.0,08021974800,+37.0955154,386651.0,08,9748,207901016368633,CT,S,+37.1012414,Census Tract 9748,50476.0,974800,-105.9107858,1598.0,618168539.0,-105.9120150,G5020,R,021,,,
3817.0,42063961500,+40.4864953,3930532.0,42,9615,20790269638165,CT,S,+40.4888555,Census Tract 9615,80757.0,961500,-079.0804460,1715.0,188692727.0,-079.0850195,G5020,R,063,,,
