POP100,GEOID,CENTLAT,AREAWATER,STATE,BASENAME,OID,LSADC,FUNCSTAT,INTPTLAT,NAME,OBJECTID,TRACT,CENTLON,HU100,AREALAND,INTPTLON,MTFCC,UR,COUNTY
3442,26063950700,+43.8251520,115623257,26,9507,2079053014165,CT,S,+43.8247007,Census Tract 9507,46574,950700,-083.3625750,1964,199187642,-083.3607332,G5020,R,063
2554,36113070500,+43.3112654,94746,36,705,20790723349949,CT,S,+43.3113991,Census Tract 705,36797,070500,-073.6310897,1331,2294352,-073.6322733,G5020,U,113
4735,25027725100,+42.2694967,1756793,25,7251,20790515417576,CT,S,+42.2675643,Census Tract 7251,45454,725100,-072.0779427,2123,55085933,-072.0668759,G5020,M,027
4350,06029006500,+35.2123634,1216667,06,65,207903717181376,CT,S,+35.2096650,Census Tract 65,62980,006500,-117.8803219,1278,2028933127,-117.8866346,G5020,R,029
3833,25027724100,+42.2540821,1639215,25,7241,20790515417563,CT,S,+42.2566908,Census Tract 7241,1517,724100,-072.1600305,1701,53031164,-072.1581690,G5020,R,027
3062,19157370100,+41.7797472,585992,19,3701,20790365970601,CT,S,+41.7800648,Census Tract 3701,36466,370100,-092.4157206,1714,357656347,-092.4158474,G5020,R,157
3062,19157370100,+41.7797472,585992,19,3701,20790365970601,CT,S,+41.7800648,Census Tract 3701,36466,370100,-092.4157206,1714,357656347,-092.4158474,G5020,R,157
3395,36047003101,+40.6916869,0,36,31.01,2079015785111997,CT,S,+40.6916869,Census Tract 31.01,36132,003101,-073.9796850,1630,149882,-073.9796850,G5020,U,047
5,36047054300,+40.7022603,376699,36,543,20790298067892,CT,S,+40.7014969,Census Tract 543,48278,054300,-073.9722908,2,955334,-073.9716023,G5020,U,047
4950,44007012803,+41.9633197,1910104,44,128.03,20790251201105,CT,S,+41.9599210,Census Tract 128.03,83835,012803,-071.5485054,1982,45397830,-071.5469547,G5020,M,007
4827,10003014703,+39.6691583,0,10,147.03,20790331634452,CT,S,+39.6691583,Census Tract 147.03,56062,014703,-075.7275104,2056,2505618,-075.7275104,G5020,U,003
7380,24031702700,+38.9995967,49346,24,7027,20790158102525,CT,S,+38.9992707,Census Tract 7027,16067,702700,-077.0548159,2655,3453511,-077.0552841,G5020,U,031
5829,25005646103,+41.6014530,2744896,25,6461.03,207903711030817,CT,S,+41.6025859,Census Tract 6461.03,81245,646103,-071.0868986,2431,50304817,-071.0916313,G5020,M,005
2932,36007001300,+42.1031103,23360,36,13,20790738500464,CT,S,+42.1027738,Census Tract 13,7140,001300,-075.9245694,1313,683124,-075.9246835,G5020,U,007
2322,27121970100,+45.6045719,26778453,27,9701,20790425932784,CT,S,+45.6104553,Census Tract 9701,73003,970100,-095.2486647,1402,607021823,-095.2429442,G5020,M,121
1904,39139001500,+40.7883941,7943,39,15,20790365937584,CT,S,+40.7892739,Census Tract 15,41271,001500,-082.5572030,922,6645056,-082.5553404,G5020,M,139
10188,48039661902,+29.4049881,3859897,48,6619.02,2079015489609400,CT,S,+29.4042720,Census Tract 6619.02,2489,661902,-095.4859424,2745,143271956,-095.4905907,G5020,M,039
5218,39015951800,+38.8343768,1028973,39,9518,20790500017873,CT,S,+38.8363539,Census Tract 9518,83399,951800,-083.9050537,2335,77949403,-083.9104087,G5020,R,015
2349,17009970400,+39.9614303,4112626,17,9704,20790132130412,CT,S,+39.9723218,Census Tract 9704,39435,970400,-090.7501718,1238,775758165,-090.7137837,G5020,R,009
4867,24033800605,+38.8002675,741705,24,8006.05,20790286337935,CT,S,+38.7982387,Census Tract 8006.05,82441,800605,-076.7447963,1590,24369187,-076.7484697,G5020,M,033
6200,24033800607,+38.8538806,148319,24,8006.07,207903711045595,CT,S,+38.8552574,Census Tract 8006.07,42424,800607,-076.7756933,2089,16425298,-076.7754842,G5020,M,033
2950,25013810200,+42.2001846,291259,25,8102,20790249212426,CT,S,+42.1943268,Census Tract 8102,36662,810200,-072.3320186,1365,18034817,-072.3288884,G5020,M,013
1710,16087970100,+44.5043835,27265046,16,9701,20790155300235,CT,S,+44.5002102,Census Tract 9701,56223,970100,-116.6859589,892,2422025951,-116.6963167,G5020,R,087
2085,36089492501,+44.2212424,51207576,36,4925.01,2079015773729192,CT,S,+44.2388094,Census Tract 4925.01,76770,492501,-074.9966043,1961,1066319999,-075.0065434,G5020,R,089
3408,01083021101,+34.6896210,50933037,01,211.01,2079015491958973,CT,S,+34.6905720,Census Tract 211.01,17495,021101,-087.0011730,1546,141935940,-086.9993668,G5020,M,083
2558,47075930100,+35.6272119,1418464,47,9301,20790155651770,CT,S,+35.6305734,Census Tract 9301,84801,930100,-089.1659524,1124,411211109,-089.1678792,G5020,R,075
4201,10005050501,+38.6918301,677102,10,505.01,20790337213648,CT,S,+38.6930150,Census Tract 505.01,11226,050501,-075.4450837,1662,110698240,-075.4367201,G5020,M,005
7526,48489950400,+26.4848144,437975,48,9504,20790708049363,CT,S,+26.4842078,Census Tract 9504,12309,950400,-097.7346363,1976,95304708,-097.7343193,G5020,M,489
1234,55037190101,+45.9434225,3730101,55,1901.01,2079015482370118,CT,S,+45.9399859,Census Tract 1901.01,17663,190101,-088.4842378,1119,352144528,-088.5045200,G5020,R,037
2491,46015973100,+43.7146967,69220714,46,9731,20790129814220,CT,S,+43.7079975,Census Tract 9731,14549,973100,-099.0716654,1058,2033894958,-099.0605276,G5020,R,015
7160,42133021020,+40.0713035,454974,42,210.20,20790318191357,CT,S,+40.0871941,Census Tract 210.20,32287,021020,-076.7137170,2888,23713245,-076.7054114,G5020,M,133
