POP100,GEOID,CENTLAT,AREAWATER,STATE,BASENAME,OID,LSADC,FUNCSTAT,INTPTLAT,NAME,OBJECTID,TRACT,CENTLON,HU100,AREALAND,INTPTLON,MTFCC,UR,COUNTY
3393,36089490800,+44.6311468,1304592,36,4908,207903928303974,CT,S,+44.6317738,Census Tract 4908,53446,490800,-075.0113360,1760,79823736,-075.0062949,G5020,M,089
4117,37073970100,+36.4245778,2369937,37,9701,20790695040224,CT,S,+36.4300832,Census Tract 9701,26616,970100,-076.5976743,1945,426049896,-076.6002026,G5020,R,073
3669,37197050504,+36.1336949,442532,37,505.04,2079015487800525,CT,S,+36.1336258,Census Tract 505.04,11016,050504,-080.6341780,1567,48656681,-080.6337373,G5020,R,197
7033,36091062602,+42.8523226,1708329,36,626.02,20790725013036,CT,S,+42.8531330,Census Tract 626.02,57385,062602,-073.8523276,2841,42971013,-073.8538042,G5020,M,091
2155,08065961900,+39.2008706,18098522,08,9619,207903714711756,CT,S,+39.2053405,Census Tract 9619,74319,961900,-106.3460342,1339,936260119,-106.3500790,G5020,R,065
5444,41005020602,+45.3607411,411047,41,206.02,2079015644950131,CT,S,+45.3611386,Census Tract 206.02,19486,020602,-122.6282959,1942,3892456,-122.6287985,G5020,U,005
4070,17139977200,+39.5947607,19468,17,9772,20790174218622,CT,S,+39.5958608,Census Tract 9772,37906,977200,-088.6059306,1905,6882104,-088.6054813,G5020,M,139
2143,17109010600,+40.4794631,0,17,106,20790351891954,CT,S,+40.4794631,Census Tract 106,11230,010600,-090.6553188,1145,13356188,-090.6553188,G5020,M,109
3075,36105950500,+41.8244428,1184578,36,9505,20790737116606,CT,S,+41.8206968,Census Tract 9505,7803,950500,-074.7382550,1625,96038212,-074.7319665,G5020,M,105
3024,25005651001,+41.6533311,21860,25,6510.01,20790406273214,CT,S,+41.6543926,Census Tract 6510.01,33593,651001,-070.9594770,1305,3462492,-070.9575134,G5020,U,005
3026,18153050101,+39.1854739,1301721,18,501.01,2079015482563624,CT,S,+39.1852598,Census Tract 501.01,30959,050101,-087.3967088,1383,100525303,-087.3968559,G5020,M,153
2540,04003000203,+32.0485540,1065188,04,2.03,207903709681201,CT,S,+32.0384375,Census Tract 2.03,26101,000203,-109.8337865,1631,901638310,-109.8463404,G5020,R,003
6431,41005023100,+45.3417675,990468,41,231,20790678464518,CT,S,+45.3472062,Census Tract 231,82276,023100,-122.4545323,2457,97269480,-122.4700783,G5020,M,005
4302,41047010503,+44.9614185,307295,41,105.03,20790446461118,CT,S,+44.9353118,Census Tract 105.03,22347,010503,-122.7918736,1630,101090680,-122.7764678,G5020,M,047
2718,41047010201,+45.2302216,512052,41,102.01,207903716963056,CT,S,+45.2274911,Census Tract 102.01,27160,010201,-122.8470805,1063,54514690,-122.8472194,G5020,M,047
5205,41071030502,+45.1411744,77711,41,305.02,20790450156302,CT,S,+45.1374943,Census Tract 305.02,84309,030502,-123.6206702,2055,391944921,-123.6230807,G5020,M,071
4914,41005023401,+45.4248890,170978,41,234.01,20790678464520,CT,S,+45.4260782,Census Tract 234.01,70259,023401,-122.3101595,1836,48645186,-122.3149571,G5020,M,005
5205,41071030502,+45.1411744,77711,41,305.02,20790450156302,CT,S,+45.1374943,Census Tract 305.02,84309,030502,-123.6206702,2055,391944921,-123.6230807,G5020,M,071
6578,41005023800,+45.1614933,525412,41,238,20790678464524,CT,S,+45.1629231,Census Tract 238,83807,023800,-122.6860649,2364,198178125,-122.6926678,G5020,M,005
5348,53073010202,+48.9699139,1631712,53,102.02,2079015692406224,CT,S,+48.9708898,Census Tract 102.02,953,010202,-122.3177843,1946,101326486,-122.3198729,G5020,M,073
3633,53025010100,+47.6449224,127907709,53,101,20790249604299,CT,S,+47.6470649,Census Tract 101,40075,010100,-119.1914046,2192,1361205286,-119.1859597,G5020,R,025
2951,06037900901,+34.7323029,510021,06,9009.01,2079015902970344,CT,S,+34.7258225,Census Tract 9009.01,11981,900901,-118.2437671,1051,94129763,-118.2459383,G5020,M,037
2951,06037900901,+34.7323029,510021,06,9009.01,2079015902970344,CT,S,+34.7258225,Census Tract 9009.01,11981,900901,-118.2437671,1051,94129763,-118.2459383,G5020,M,037
2951,06037900901,+34.7323029,510021,06,9009.01,2079015902970344,CT,S,+34.7258225,Census Tract 9009.01,11981,900901,-118.2437671,1051,94129763,-118.2459383,G5020,M,037
2951,06037900901,+34.7323029,510021,06,9009.01,2079015902970344,CT,S,+34.7258225,Census Tract 9009.01,11981,900901,-118.2437671,1051,94129763,-118.2459383,G5020,M,037
2951,06037900901,+34.7323029,510021,06,9009.01,2079015902970344,CT,S,+34.7258225,Census Tract 9009.01,11981,900901,-118.2437671,1051,94129763,-118.2459383,G5020,M,037
2951,06037900901,+34.7323029,510021,06,9009.01,2079015902970344,CT,S,+34.7258225,Census Tract 9009.01,11981,900901,-118.2437671,1051,94129763,-118.2459383,G5020,M,037
6573,36067011500,+43.1488169,884225,36,115,207901392450947,CT,S,+43.1453679,Census Tract 115,80881,011500,-076.2760444,2565,24668805,-076.2703949,G5020,M,067
2469,36075021202,+43.3224240,2373628,36,212.02,2079015503640307,CT,S,+43.3208375,Census Tract 212.02,46056,021202,-076.4565481,1098,37913308,-076.4545940,G5020,M,075
1584,36075021505,+43.4546373,40694,36,215.05,2079015503640371,CT,S,+43.4549897,Census Tract 215.05,74633,021505,-076.4595209,793,4400030,-076.4579765,G5020,U,075
3658,34023001806,+40.4982606,1461475,34,18.06,2079019653743670,CT,S,+40.4994278,Census Tract 18.06,85364,001806,-074.3550286,1572,17579182,-074.3579276,G5020,U,023
5126,37053110201,+36.4912295,0,37,1102.01,2079015486667246,CT,S,+36.4912295,Census Tract 1102.01,10910,110201,-076.1929992,1814,120943373,-076.1929992,G5020,R,053
2093,19175190300,+41.0012749,4296887,19,1903,20790150333791,CT,S,+41.0025786,Census Tract 1903,28598,190300,-094.2908569,939,715247352,-094.2836350,G5020,M,175
4856,37191000603,+35.2538107,906701,37,6.03,2079015496778471,CT,S,+35.2533899,Census Tract 6.03,54178,000603,-077.9813598,2076,116337670,-077.9764561,G5020,R,191
4839,39133601503,+41.1427551,9436,39,6015.03,20790468614627,CT,S,+41.1408686,Census Tract 6015.03,30039,601503,-081.3342290,2538,4000342,-081.3267948,G5020,U,133
5224,34005703104,+39.9730935,155256,34,7031.04,207903716968789,CT,S,+39.9726279,Census Tract 7031.04,54495,703104,-074.7978230,1870,6170181,-074.7979412,G5020,U,005
