,Unnamed: 0,plant_name,Plant Code,State,Sector Name,Prime Movers,Fuel Types,Primary Technology,withdrawal_volume_million_gallons,discharge_volume_million_gallons,consumption_volume_million_gallons,energy_category,map_link,longitude,latitude,GEOID,STATE,COUNTY,TRACT
3226,3226,Dry Creek LFG to Energy Project,56461,OR,Commercial Non-CHP,IC,LFG,Landfill Gas,,,,Renewable Energy Sources,"map/?center=-122.7718,42.3844&level=14",-122.7718,42.3844,41029001304,41.0,29.0,1304.0
3227,3227,Dry Creek Project,54394,ID,IPP Non-CHP,HY,WAT,Conventional Hydroelectric,,,,Renewable Energy Sources,"map/?center=-112.719439,44.027444&level=14",-112.719439,44.027444,16033950100,16.0,33.0,950100.0
3228,3228,Dry Fork Station,56609,WY,Electric Utility,ST,SUB,Conventional Steam Coal,--,--,--,Coal,"map/?center=-105.460833,44.388889&level=14",-105.460833,44.388889,56005000702,56.0,5.0,702.0
3229,3229,Dry Lake Wind LLC,57098,AZ,IPP Non-CHP,WT,WND,Onshore Wind Turbine,,,,Renewable Energy Sources,"map/?center=-110.2842,34.6596&level=14",-110.2842,34.6596,04017960200,4.0,17.0,960200.0
3230,3230,Dryden Rd #2 Community Solar Farm CSG,62477,NY,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-76.319983,42.487821&level=14",-76.319983,42.487821,36109002000,36.0,109.0,2000.0
3231,3231,Du Bay,3972,WI,Electric Utility,HY,WAT,Conventional Hydroelectric,,,,Renewable Energy Sources,"map/?center=-89.6511,44.6647&level=14",-89.6511,44.6647,55097960200,55.0,97.0,960200.0
3232,3232,Duanesburg,61863,NY,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-74.201552,42.762173&level=14",-74.201552,42.762173,36093033102,36.0,93.0,33102.0
3233,3233,Dublin Solar I,60930,GA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-82.926,32.581&level=14",-82.926,32.581,13175950201,13.0,175.0,950201.0
3234,3234,Dubois Solar (Hybrid),66218,NY,IPP Non-CHP,"BA, PV","MWH, SUN",Multiple,,,,Other,"map/?center=-74.285833,41.598889&level=14",-74.285833,41.598889,36071010901,36.0,71.0,10901.0
3235,3235,Dudley,64572,MA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-71.978849,42.054345&level=14",-71.978849,42.054345,25027755202,25.0,27.0,755202.0
3236,3236,"Dudley River 2 Solar, LLC CSG",63570,MA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-71.997064,42.07239&level=14",-71.997064,42.07239,25027757500,25.0,27.0,757500.0
3237,3237,"Dudley River 3 Solar, LLC CSG",63569,MA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-71.998219,42.071255&level=14",-71.998219,42.071255,25027757500,25.0,27.0,757500.0
3238,3238,"Dudley River Solar, LLC CSG",63571,MA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-71.999663,42.070934&level=14",-71.999663,42.070934,25027757500,25.0,27.0,757500.0
3239,3239,Dudley Solar CSG,62201,MA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-71.9229,42.0539&level=14",-71.9229,42.0539,25027755201,25.0,27.0,755201.0
3240,3240,Duette Solar Power Plant,63978,FL,Electric Utility,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-82.061964,27.585836&level=14",-82.061964,27.585836,12081001914,12.0,81.0,1914.0
3241,3241,Duke Building 129,59434,IN,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-86.245278,39.910833&level=14",-86.245278,39.910833,18097310105,18.0,97.0,310105.0
