POP100,GEOID,CENTLAT,AREAWATER,STATE,BASENAME,OID,LSADC,FUNCSTAT,INTPTLAT,NAME,OBJECTID,TRACT,CENTLON,HU100,AREALAND,INTPTLON,MTFCC,UR,COUNTY
3892,37047930100,+34.3291592,1552314,37,9301,20790499870878,CT,S,+34.3293756,Census Tract 9301,52582,930100,-078.2623735,1766,155610471,-078.2618727,G5020,R,047
5840,48167721902,+29.4298661,5513827,48,7219.02,2079015616221772,CT,S,+29.4376953,Census Tract 7219.02,20855,721902,-094.9782451,2458,52390244,-094.9821525,G5020,M,167
6061,27145011308,+45.5543933,220703,27,113.08,2079015495348564,CT,S,+45.5536044,Census Tract 113.08,42059,011308,-094.2952212,2318,40494945,-094.2919118,G5020,M,145
4639,27085950600,+44.8051933,1009150,27,9506,20790301380581,CT,S,+44.8082124,Census Tract 9506,68957,950600,-094.1278166,1889,332584844,-094.1215998,G5020,M,085
4639,27085950600,+44.8051933,1009150,27,9506,20790301380581,CT,S,+44.8082124,Census Tract 9506,68957,950600,-094.1278166,1889,332584844,-094.1215998,G5020,M,085
1712,48025950100,+28.6031755,112713,48,9501,20790218425438,CT,S,+28.6008029,Census Tract 9501,71415,950100,-097.8978554,860,601830008,-097.8966278,G5020,R,025
7827,06037911100,+34.6099554,808376,06,9111,2079015902970030,CT,S,+34.6140391,Census Tract 9111,12694,911100,-117.9789187,2084,161554271,-117.9778600,G5020,M,037
2,36005001903,+40.8022016,0,36,19.03,2079015664643149,CT,S,+40.7999843,Census Tract 19.03,72986,001903,-073.9126172,3,908739,-073.9086940,G5020,U,005
4112,34023001804,+40.5067674,0,34,18.04,20790423989555,CT,S,+40.5067674,Census Tract 18.04,17211,001804,-074.3823416,1579,2097336,-074.3823416,G5020,U,023
5669,34023008502,+40.3738809,812200,34,85.02,20790423994784,CT,S,+40.3757088,Census Tract 85.02,59036,008502,-074.4986902,1841,54738465,-074.4871985,G5020,M,023
2076,41063960100,+45.5215016,10253082,41,9601,20790463143306,CT,S,+45.5279102,Census Tract 9601,46634,960100,-116.9314735,1360,4543588624,-116.9128676,G5020,R,063
4114,06085503210,+37.2904505,0,06,5032.10,20790154319430,CT,S,+37.2904505,Census Tract 5032.10,49328,503210,-121.8228620,935,1595929,-121.8228620,G5020,U,085
1160,06019006408,+37.1723227,51845624,06,64.08,2079015504479093,CT,S,+37.2236095,Census Tract 64.08,48756,006408,-118.9574483,661,3321551634,-119.0009358,G5020,R,019
2557,06029006012,+35.0284337,196833,06,60.12,2079015504612075,CT,S,+35.0288241,Census Tract 60.12,16434,006012,-118.4097006,1152,573538703,-118.4085856,G5020,M,029
5417,51159040100,+37.9461812,63388152,51,401,20790488353881,CT,S,+37.9404002,Census Tract 401,17735,040100,-076.7690541,2709,350219408,-076.7727373,G5020,R,159
2357,26071000100,+46.2438772,43832928,26,1,20790183321699,CT,S,+46.2509185,Census Tract 1,28288,000100,-088.3242710,2021,1085060619,-088.3125287,G5020,R,071
1825,37131920301,+36.4007408,4734203,37,9203.01,2079015501456168,CT,S,+36.3861658,Census Tract 9203.01,52014,920301,-077.5282468,1044,188781035,-077.5257361,G5020,M,131
3662,26091060100,+42.0060937,105222,26,601,2079054735560,CT,S,+42.0065760,Census Tract 601,58699,060100,-083.8407879,1489,186054488,-083.8373173,G5020,R,091
7056,18063210501,+39.7934324,284152,18,2105.01,207903704537964,CT,S,+39.7922311,Census Tract 2105.01,48628,210501,-086.5238444,2708,69561649,-086.5152456,G5020,M,063
2556,36069051700,+42.8790180,0,36,517,20790105673942,CT,S,+42.8790180,Census Tract 517,55554,051700,-076.9774513,1175,3686416,-076.9774513,G5020,M,069
4282,27053103700,+44.9867836,93489,27,1037,20790195541495,CT,S,+44.9871608,Census Tract 1037,29361,103700,-093.2505242,2734,820085,-093.2508516,G5020,U,053
5313,51087200148,+37.6823049,79747,51,2001.48,2079015624743977,CT,S,+37.6825009,Census Tract 2001.48,22527,200148,-077.5782160,1706,6373381,-077.5815141,G5020,M,087
4283,06031001601,+36.0088124,2105941,06,16.01,20790680083096,CT,S,+36.0137600,Census Tract 16.01,3608,001601,-119.7790167,1271,1699007789,-119.7891118,G5020,M,031
4283,06031001601,+36.0088124,2105941,06,16.01,20790680083096,CT,S,+36.0137600,Census Tract 16.01,3608,001601,-119.7790167,1271,1699007789,-119.7891118,G5020,M,031
7467,36055013206,+43.0310801,197541,36,132.06,207903717056691,CT,S,+43.0335452,Census Tract 132.06,77185,013206,-077.6949705,2874,14435492,-077.6867472,G5020,M,055
4283,06031001601,+36.0088124,2105941,06,16.01,20790680083096,CT,S,+36.0137600,Census Tract 16.01,3608,001601,-119.7790167,1271,1699007789,-119.7891118,G5020,M,031
4517,18065975700,+39.9566244,537450,18,9757,20790110804906,CT,S,+39.9546277,Census Tract 9757,71872,975700,-085.4851424,1921,237185809,-085.4754915,G5020,R,065
5184,37151031200,+35.8631670,707605,37,312,20790163359869,CT,S,+35.8640230,Census Tract 312,15578,031200,-079.5987688,2353,90602443,-079.6000548,G5020,R,151
1623,06047002401,+37.0440620,659531,06,24.01,207903717147408,CT,S,+37.0439737,Census Tract 24.01,55755,002401,-120.6525301,619,231179767,-120.6551864,G5020,R,047
3854,26017281000,+43.5844001,720658,26,2810,2079058922334,CT,S,+43.5842843,Census Tract 2810,54251,281000,-083.9075316,1863,4278922,-083.9074123,G5020,M,017
4093,18019050804,+38.5538266,448678,18,508.04,207903715451382,CT,S,+38.5632782,Census Tract 508.04,49263,050804,-085.7355077,1636,80026353,-085.7371886,G5020,R,019
