POP100,GEOID,CENTLAT,AREAWATER,STATE,BASENAME,OID,LSADC,FUNCSTAT,INTPTLAT,NAME,OBJECTID,TRACT,CENTLON,HU100,AREALAND,INTPTLON,MTFCC,UR,COUNTY
3700,25011041502,+42.5980662,1201449,25,415.02,207903709174149,CT,S,+42.5933756,Census Tract 415.02,40371,041502,-072.7314557,1907,110914685,-072.7269280,G5020,R,011
3700,25011041502,+42.5980662,1201449,25,415.02,207903709174149,CT,S,+42.5933756,Census Tract 415.02,40371,041502,-072.7314557,1907,110914685,-072.7269280,G5020,R,011
3700,25011041502,+42.5980662,1201449,25,415.02,207903709174149,CT,S,+42.5933756,Census Tract 415.02,40371,041502,-072.7314557,1907,110914685,-072.7269280,G5020,R,011
1339,25003931300,+42.6303726,1065883,25,9313,20790225532376,CT,S,+42.6277273,Census Tract 9313,36292,931300,-073.0175155,712,155956599,-073.0153648,G5020,R,003
5090,25011040900,+42.5220083,2717544,25,409,20790245080730,CT,S,+42.5179668,Census Tract 409,38472,040900,-072.6097261,2292,83924431,-072.6131394,G5020,M,011
2057,26063950200,+43.9053046,24648487,26,9502,2079053014161,CT,S,+43.9086849,Census Tract 9502,59504,950200,-082.7977814,1470,351000675,-082.7940676,G5020,R,063
2208,26063950300,+43.9518782,6405361,26,9503,2079053014162,CT,S,+43.9471274,Census Tract 9503,46573,950300,-082.9814824,1627,261883519,-082.9749618,G5020,R,063
2053,50003970601,+42.8702047,1464988,50,9706.01,2079015504164993,CT,S,+42.8611219,Census Tract 9706.01,72803,970601,-073.0446750,1359,489468577,-073.0553613,G5020,R,003
2960,12001001802,+29.7899146,1050747,12,18.02,20790267578478,CT,S,+29.7936621,Census Tract 18.02,18873,001802,-082.4091336,1280,78183974,-082.4093261,G5020,M,001
2960,12001001802,+29.7899146,1050747,12,18.02,20790267578478,CT,S,+29.7936621,Census Tract 18.02,18873,001802,-082.4091336,1280,78183974,-082.4093261,G5020,M,001
1434,55055101701,+43.1186935,1808823,55,1017.01,207901916514154,CT,S,+43.1210701,Census Tract 1017.01,67084,101701,-088.7245498,605,78541289,-088.7255345,G5020,M,055
2656,36045060902,+44.0129570,1369290,36,609.02,2079015482476125,CT,S,+44.0034073,Census Tract 609.02,21524,060902,-075.6369324,1250,18426311,-075.6290531,G5020,M,045
4129,05019953602,+34.1907128,16940808,05,9536.02,207903566432191,CT,S,+34.1993325,Census Tract 9536.02,71460,953602,-093.1008421,1482,120094342,-093.0959125,G5020,M,019
4738,06025010102,+33.1933474,189009524,06,101.02,207903717080836,CT,S,+33.2254028,Census Tract 101.02,53718,010102,-115.6164278,1591,233852831,-115.6086847,G5020,R,025
4824,34005700800,+40.0491666,2517418,34,7008,207901408399980,CT,S,+40.0506571,Census Tract 7008,84311,700800,-074.9456935,2147,6106175,-074.9375899,G5020,U,005
4538,27171101002,+45.0641061,442929,27,1010.02,2079015489264934,CT,S,+45.0637066,Census Tract 1010.02,27727,101002,-093.7937975,1796,27546413,-093.7998679,G5020,M,171
2385,06107004302,+35.8608194,295053,06,43.02,2079015748636955,CT,S,+35.8504301,Census Tract 43.02,14013,004302,-119.4034690,632,393173932,-119.4055452,G5020,R,107
2605,06029004606,+35.7557958,76845,06,46.06,2079015504612155,CT,S,+35.7478582,Census Tract 46.06,15254,004606,-119.3068061,624,46227711,-119.2921322,G5020,M,029
3334,10003016404,+39.5783148,4918091,10,164.04,207903716847718,CT,S,+39.5752280,Census Tract 164.04,71071,016404,-075.6174280,1296,31699571,-075.6186613,G5020,M,003
3334,10003016404,+39.5783148,4918091,10,164.04,207903716847718,CT,S,+39.5752280,Census Tract 164.04,71071,016404,-075.6174280,1296,31699571,-075.6186613,G5020,M,003
1937,42101014300,+39.9677868,282807,42,143,20790510176010,CT,S,+39.9678118,Census Tract 143,53278,014300,-075.1261237,1059,570961,-075.1249943,G5020,U,101
3892,37047930100,+34.3291592,1552314,37,9301,20790499870878,CT,S,+34.3293756,Census Tract 9301,52582,930100,-078.2623735,1766,155610471,-078.2618727,G5020,R,047
3660,34001011702,+39.4348971,851452,34,117.02,20790323538532,CT,S,+39.4337377,Census Tract 117.02,31670,011702,-074.5614740,1416,30562626,-074.5593035,G5020,U,001
2171,48159950102,+33.2732705,5865851,48,9501.02,2079015503522841,CT,S,+33.2716030,Census Tract 9501.02,29841,950102,-095.2153118,934,388515855,-095.2241685,G5020,R,159
3652,05093010700,+35.8767787,38129460,05,107,2079086077382,CT,S,+35.8737912,Census Tract 107,24970,010700,-089.8785918,1671,616719486,-089.8690399,G5020,M,093
4900,55035000600,+44.8228604,1412441,55,6,20790695970351,CT,S,+44.8225872,Census Tract 6,34837,000600,-091.4877813,2348,4692586,-091.4883544,G5020,U,035
3949,27009020300,+45.6050908,456264,27,203,20790202463661,CT,S,+45.5992765,Census Tract 203,68796,020300,-094.0199244,1448,159487953,-094.0181761,G5020,M,009
4,26163984100,+42.2976774,955309,26,9841,2079015682255314,CT,S,+42.2978126,Census Tract 9841,23427,984100,-083.0957767,2,1452015,-083.0970495,G5020,U,163
7763,06001441503,+37.5047630,12525279,06,4415.03,20790141323877,CT,S,+37.4899766,Census Tract 4415.03,52150,441503,-122.0331049,2426,72745500,-121.9742068,G5020,M,001
7064,06013305000,+38.0162435,1667577,06,3050,20790146182456,CT,S,+38.0158566,Census Tract 3050,53835,305000,-121.8309940,2524,8106565,-121.8345617,G5020,U,013
3577,26045020303,+42.7124321,371187,26,203.03,207903709705996,CT,S,+42.7154398,Census Tract 203.03,27436,020303,-084.6555180,1869,13480275,-084.6559577,G5020,U,045
4695,02240000400,+63.9268683,374184919,02,4,207903716804998,CT,S,+63.9300864,Census Tract 4,76540,000400,-145.4371939,2097,17426942443,-145.4334366,G5020,R,240
7106,26045020302,+42.7263340,374671,26,203.02,20790177908798,CT,S,+42.7261958,Census Tract 203.02,13725,020302,-084.6941725,2791,40451883,-084.6947435,G5020,M,045
7106,26045020302,+42.7263340,374671,26,203.02,20790177908798,CT,S,+42.7261958,Census Tract 203.02,13725,020302,-084.6941725,2791,40451883,-084.6947435,G5020,M,045
4695,02240000400,+63.9268683,374184919,02,4,207903716804998,CT,S,+63.9300864,Census Tract 4,76540,000400,-145.4371939,2097,17426942443,-145.4334366,G5020,R,240
