POP100,GEOID,CENTLAT,AREAWATER,STATE,BASENAME,OID,LSADC,FUNCSTAT,INTPTLAT,NAME,OBJECTID,TRACT,CENTLON,HU100,AREALAND,INTPTLON,MTFCC,UR,COUNTY,error,lat,lng
3984.0,27163070205,+45.2539483,12953152.0,27,702.05,20790283625651,CT,S,+45.2515356,Census Tract 702.05,59695.0,070205,-092.8278411,1717.0,90266280.0,-092.8334093,G5020,R,163,,,
5135.0,27139081001,+44.6625502,3224613.0,27,810.01,2079015503670940,CT,S,+44.6668232,Census Tract 810.01,16761.0,081001,-093.4481120,1802.0,74775280.0,-093.4500515,G5020,M,139,,,
5485.0,17031805701,+42.0029705,0.0,17,8057.01,20790197959970,CT,S,+42.0029705,Census Tract 8057.01,49505.0,805701,-087.8510299,2141.0,2755195.0,-087.8510299,G5020,U,031,,,
2900.0,47149041500,+35.8484829,0.0,47,415,20790177215316,CT,S,+35.8484829,Census Tract 415,28733.0,041500,-086.3622359,31.0,1821389.0,-086.3622359,G5020,U,149,,,
6891.0,30111001402,+45.9821124,2531213.0,30,14.02,207903717106285,CT,S,+46.0227198,Census Tract 14.02,61895.0,001402,-108.6752064,2612.0,1200197983.0,-108.6656105,G5020,M,111,,,
5226.0,29019000500,+38.9464648,0.0,29,5,20790674300119,CT,S,+38.9464648,Census Tract 5,39582.0,000500,-092.3291377,2397.0,1247494.0,-092.3291377,G5020,U,019,,,
3957.0,06037900301,+34.7023557,10782.0,06,9003.01,2079015902970069,CT,S,+34.7006469,Census Tract 9003.01,20409.0,900301,-118.0645253,1038.0,6629836.0,-118.0672443,G5020,M,037,,,
1112.0,15009032000,+20.8254913,10541422.0,15,320,207903716739403,CT,S,+20.8127434,Census Tract 320,58204.0,032000,-156.5691398,1001.0,113741784.0,-156.5627277,G5020,M,009,,,
5619.0,36103146618,+40.7959074,0.0,36,1466.18,2079015799542159,CT,S,+40.7959074,Census Tract 1466.18,77986.0,146618,-073.1184739,2029.0,13830661.0,-073.1184739,G5020,U,103,,,
3924.0,50021962700,+43.6237559,460746.0,50,9627,20790249978118,CT,S,+43.6446502,Census Tract 9627,41398.0,962700,-072.9782774,1938.0,49730073.0,-072.9530419,G5020,M,021,,,
3444.0,26121003800,+43.4076683,10577890.0,26,38,20790192515686,CT,S,+43.4111279,Census Tract 38,22522.0,003800,-086.3939962,1774.0,36138900.0,-086.3861203,G5020,M,121,,,
3898.0,36117020303,+43.0780236,327148.0,36,203.03,2079015506607901,CT,S,+43.0784769,Census Tract 203.03,2687.0,020303,-077.3451835,1680.0,42834070.0,-077.3407774,G5020,M,117,,,
4228.0,35029000500,+32.2781576,419446.0,35,5,20790295909509,CT,S,+32.2864828,Census Tract 5,43297.0,000500,-107.8464680,2034.0,4897778588.0,-107.8576489,G5020,M,029,,,
4228.0,35029000500,+32.2781576,419446.0,35,5,20790295909509,CT,S,+32.2864828,Census Tract 5,43297.0,000500,-107.8464680,2034.0,4897778588.0,-107.8576489,G5020,M,029,,,
4191.0,19121060300,+41.2757008,279389.0,19,603,20790373385570,CT,S,+41.2761305,Census Tract 603,60030.0,060300,-094.0683853,1692.0,842497439.0,-094.0570152,G5020,M,121,,,
5557.0,06037106020,+34.3212772,7144.0,06,1060.20,207901115296373,CT,S,+34.3232264,Census Tract 1060.20,27809.0,106020,-118.4283797,1438.0,2010764.0,-118.4294854,G5020,U,037,,,
4551.0,36033950502,+44.8032885,1379600.0,36,9505.02,207903716924063,CT,S,+44.8056453,Census Tract 9505.02,53939.0,950502,-074.3280621,720.0,114073486.0,-074.3255971,G5020,M,033,,,
2601.0,29121960500,+39.6948935,641482.0,29,9605,20790281171434,CT,S,+39.6988947,Census Tract 9605,24464.0,960500,-092.4811023,1379.0,85662141.0,-092.4821254,G5020,M,121,,,
3775.0,29121960300,+39.7357517,20975934.0,29,9603,20790281171429,CT,S,+39.6825153,Census Tract 9603,24466.0,960300,-092.4719066,1767.0,714966745.0,-092.3945257,G5020,R,121,,,
4036.0,29121960400,+39.7587757,894317.0,29,9604,20790281171442,CT,S,+39.7603051,Census Tract 9604,24463.0,960400,-092.4538213,1841.0,38567532.0,-092.4563932,G5020,M,121,,,
5009.0,24025301301,+39.4341356,127756.0,24,3013.01,20790157164266,CT,S,+39.4345279,Census Tract 3013.01,29069.0,301301,-076.3390977,1967.0,14914947.0,-076.3391472,G5020,M,025,,,
2391.0,04013061024,+33.4190588,13707.0,04,610.24,207903717434500,CT,S,+33.4137948,Census Tract 610.24,21773.0,061024,-112.3996390,799.0,14718469.0,-112.3997843,G5020,M,013,,,
