error,lat,lng,POP100,GEOID,CENTLAT,AREAWATER,STATE,BASENAME,OID,LSADC,FUNCSTAT,INTPTLAT,NAME,OBJECTID,TRACT,CENTLON,HU100,AREALAND,INTPTLON,MTFCC,UR,COUNTY
400 Client Error:  for url: https://geocoding.geo.census.gov/geocoder/geographies/coordinates?x=Longitude+of+award%2Fproject+place+of+performance.&y=Latitude+of+award%2Fproject+place+of+performance.&benchmark=Public_AR_Census2020&vintage=Census2020_Census2020&format=json,Latitude of award/project place of performance.,Longitude of award/project place of performance.,,,,,,,,,,,,,,,,,,,,
,,,4284.0,36053030701.0,42.8813705,2439864.0,36.0,307.01,2079015504126875.0,CT,S,42.8901263,Census Tract 307.01,11012.0,30701.0,-75.628966,1779.0,115586283.0,-75.630046,G5020,R,53.0
,,,2516.0,28011950200.0,33.8517837,11950267.0,28.0,9502.0,2079092568204.0,CT,S,33.8510532,Census Tract 9502,59014.0,950200.0,-90.9497901,1182.0,277572316.0,-90.9489075,G5020,R,11.0
,,,4580.0,51029930202.0,37.5064174,3236253.0,51.0,9302.02,207903695965155.0,CT,S,37.5009543,Census Tract 9302.02,76316.0,930202.0,-78.619562,2222.0,642221692.0,-78.6274462,G5020,R,29.0
,,,7056.0,18063210501.0,39.7934324,284152.0,18.0,2105.01,207903704537964.0,CT,S,39.7922311,Census Tract 2105.01,48628.0,210501.0,-86.5238444,2708.0,69561649.0,-86.5152456,G5020,M,63.0
,,,2844.0,18089030400.0,41.6612662,2725912.0,18.0,304.0,20790271953779.0,CT,S,41.660661,Census Tract 304,3964.0,30400.0,-87.4608009,1371.0,12332349.0,-87.4572268,G5020,U,89.0
,,,2497.0,34015500201.0,39.8706961,2400104.0,34.0,5002.01,20790414200094.0,CT,S,39.8742327,Census Tract 5002.01,29764.0,500201.0,-75.1593676,1042.0,7769079.0,-75.1590597,G5020,U,15.0
,,,6078.0,72073956200.0,18.1846958,175.0,72.0,9562.0,20790132270931.0,CT,S,18.1838147,Census Tract 9562,13497.0,956200.0,-66.5932903,2586.0,62771822.0,-66.5935943,G5020,M,73.0
,,,3617.0,51013102400.0,38.8706341,0.0,51.0,1024.0,20790343192150.0,CT,S,38.8706341,Census Tract 1024,41491.0,102400.0,-77.0890693,1653.0,965036.0,-77.0890693,G5020,U,13.0
,,,3475.0,36035970700.0,43.0546963,8674.0,36.0,9707.0,20790743744523.0,CT,S,43.0535726,Census Tract 9707,76383.0,970700.0,-74.3566547,1769.0,2888473.0,-74.3576989,G5020,M,35.0
,,,2538.0,35047957603.0,35.6065494,0.0,35.0,9576.03,2079015503663786.0,CT,S,35.6065494,Census Tract 9576.03,31480.0,957603.0,-105.6966979,1227.0,53563415.0,-105.6966979,G5020,R,47.0
,,,3206.0,18097354202.0,39.7792027,0.0,18.0,3542.02,2079015489252049.0,CT,S,39.7792027,Census Tract 3542.02,11723.0,354202.0,-86.1472373,2532.0,941911.0,-86.1472373,G5020,U,97.0
