POP100,GEOID,CENTLAT,AREAWATER,STATE,BASENAME,OID,LSADC,FUNCSTAT,INTPTLAT,NAME,OBJECTID,TRACT,CENTLON,HU100,AREALAND,INTPTLON,MTFCC,UR,COUNTY
3874,55095961100,+45.3010287,3079325,55,9611,20790455802052,CT,S,+45.3007726,Census Tract 9611,50141,961100,-092.2264024,1726,221267250,-092.2401740,G5020,R,095
6204,51810046207,+36.7908296,641727,51,462.07,20790541165838,CT,S,+36.7902737,Census Tract 462.07,11823,046207,-076.1955506,2602,6064347,-076.1945427,G5020,U,810
1768,51195931700,+36.9334839,412595,51,9317,20790695040470,CT,S,+36.9519955,Census Tract 9317,69462,931700,-082.3551296,909,58313308,-082.3655969,G5020,R,195
2227,37185950202,+36.4687466,4001480,37,9502.02,2079015482750597,CT,S,+36.4652778,Census Tract 9502.02,29321,950202,-078.2786570,893,84890782,-078.2766497,G5020,R,185
4190,51121020301,+37.2365334,1188,51,203.01,2079015503939259,CT,S,+37.2371877,Census Tract 203.01,1457,020301,-080.4303485,2039,1963513,-080.4306193,G5020,U,121
7033,36091062602,+42.8523226,1708329,36,626.02,20790725013036,CT,S,+42.8531330,Census Tract 626.02,57385,062602,-073.8523276,2841,42971013,-073.8538042,G5020,M,091
5032,06073019503,+33.1996082,0,06,195.03,20790676339148,CT,S,+33.1996082,Census Tract 195.03,57640,019503,-117.2444184,1629,1790124,-117.2444184,G5020,U,073
3890,04021001405,+32.8869187,0,04,14.05,207903717408173,CT,S,+32.8869187,Census Tract 14.05,27341,001405,-111.7048879,3004,5407959,-111.7048879,G5020,M,021
2654,35061970302,+34.7122236,251494,35,9703.02,20790493518109,CT,S,+34.7153818,Census Tract 9703.02,58749,970302,-106.6038738,1021,153878612,-106.5952638,G5020,M,061
5933,42041012600,+40.1020037,862597,42,126,20790248545356,CT,S,+40.1009786,Census Tract 126,56568,012600,-077.1567138,2487,70549507,-077.1637894,G5020,M,041
2129,06019001500,+36.6816004,75314,06,15,20790148951017,CT,S,+36.6871053,Census Tract 15,15881,001500,-119.7178436,650,38156230,-119.7170769,G5020,M,019
2701,13033950102,+33.1646645,3540625,13,9501.02,2079015482439711,CT,S,+33.1594912,Census Tract 9501.02,8698,950102,-081.8608638,1413,276185388,-081.8606935,G5020,R,033
6099,18163010702,+38.1216645,376466,18,107.02,2079015501901962,CT,S,+38.1157190,Census Tract 107.02,1463,010702,-087.5570986,2401,66871895,-087.5571446,G5020,M,163
0,47065980200,+35.0892045,0,47,9802,207903717404507,CT,S,+35.0892045,Census Tract 9802,65420,980200,-085.1312515,0,26731894,-085.1312515,G5020,M,065
2028,36075021002,+43.3464994,518088,36,210.02,2079015503640348,CT,S,+43.3450893,Census Tract 210.02,45140,021002,-076.3728322,856,40194465,-076.3748301,G5020,M,075
4295,06089012603,+40.4839081,4583285,06,126.03,207903717089972,CT,S,+40.4806114,Census Tract 126.03,44396,012603,-121.7331645,2412,801330280,-121.7401412,G5020,R,089
4295,06089012603,+40.4839081,4583285,06,126.03,207903717089972,CT,S,+40.4806114,Census Tract 126.03,44396,012603,-121.7331645,2412,801330280,-121.7401412,G5020,R,089
2557,06029006012,+35.0284337,196833,06,60.12,2079015504612075,CT,S,+35.0288241,Census Tract 60.12,16434,006012,-118.4097006,1152,573538703,-118.4085856,G5020,M,029
2557,06029006012,+35.0284337,196833,06,60.12,2079015504612075,CT,S,+35.0288241,Census Tract 60.12,16434,006012,-118.4097006,1152,573538703,-118.4085856,G5020,M,029
2557,06029006012,+35.0284337,196833,06,60.12,2079015504612075,CT,S,+35.0288241,Census Tract 60.12,16434,006012,-118.4097006,1152,573538703,-118.4085856,G5020,M,029
2557,06029006012,+35.0284337,196833,06,60.12,2079015504612075,CT,S,+35.0288241,Census Tract 60.12,16434,006012,-118.4097006,1152,573538703,-118.4085856,G5020,M,029
2224,25027759100,+42.2032575,1447029,25,7591,20790515417572,CT,S,+42.2096822,Census Tract 7591,1518,759100,-072.0467193,978,25547237,-072.0401777,G5020,M,027
5011,17091010400,+41.1294832,2774067,17,104,20790405150596,CT,S,+41.1294559,Census Tract 104,36254,010400,-087.9662104,1996,102304930,-087.9591189,G5020,M,091
2605,06029003307,+34.9453027,354323,06,33.07,2079015504612050,CT,S,+34.9553678,Census Tract 33.07,16433,003307,-119.1655426,2266,1004207741,-119.1714843,G5020,R,029
4738,06025010102,+33.1933474,189009524,06,101.02,207903717080836,CT,S,+33.2254028,Census Tract 101.02,53718,010102,-115.6164278,1591,233852831,-115.6086847,G5020,R,025
3807,36015011000,+42.0709397,1940701,36,110,20790100835765,CT,S,+42.0705081,Census Tract 110,19719,011000,-076.6557236,1737,238059545,-076.6562790,G5020,M,015
5692,48157675503,+29.4605183,13825624,48,6755.03,2079015692353143,CT,S,+29.4668686,Census Tract 6755.03,78595,675503,-095.6445771,1824,228927298,-095.6405110,G5020,M,157
1370,06037901209,+34.7604943,7874863,06,9012.09,207903717302745,CT,S,+34.7464476,Census Tract 9012.09,37731,901209,-118.5807407,729,589476557,-118.5702726,G5020,R,037
5631,15001020600,+19.7088004,12722914,15,206,2079092140120,CT,S,+19.7070057,Census Tract 206,47614,020600,-155.0365391,2051,48334608,-155.0369344,G5020,M,001
1555,39081011000,+40.5610117,1131293,39,110,20790757771169,CT,S,+40.5683910,Census Tract 110,66280,011000,-080.7529316,745,115888851,-080.7575181,G5020,M,081
1930,37155961100,+34.5988767,66936,37,9611,20790178242090,CT,S,+34.5954386,Census Tract 9611,53302,961100,-078.9779443,749,8979660,-078.9763282,G5020,M,155
