POP100,GEOID,CENTLAT,AREAWATER,STATE,BASENAME,OID,LSADC,FUNCSTAT,INTPTLAT,NAME,OBJECTID,TRACT,CENTLON,HU100,AREALAND,INTPTLON,MTFCC,UR,COUNTY
2080,25021443105,+42.0926081,351830,25,4431.05,2079015677894852,CT,S,+42.0898665,Census Tract 4431.05,72938,443105,-071.4813577,900,10803177,-071.4819762,G5020,M,021
5647,25027752101,+42.0634452,354791,25,7521.01,2079015614090228,CT,S,+42.0656942,Census Tract 7521.01,24088,752101,-071.7147656,2204,30289590,-071.7141426,G5020,M,027
4096,36023971200,+42.4799478,499960,36,9712,20790722550009,CT,S,+42.4779417,Census Tract 9712,82107,971200,-076.1617025,1843,250097821,-076.1628829,G5020,R,023
4096,36023971200,+42.4799478,499960,36,9712,20790722550009,CT,S,+42.4779417,Census Tract 9712,82107,971200,-076.1617025,1843,250097821,-076.1628829,G5020,R,023
4096,36023971200,+42.4799478,499960,36,9712,20790722550009,CT,S,+42.4779417,Census Tract 9712,82107,971200,-076.1617025,1843,250097821,-076.1628829,G5020,R,023
3633,33005970200,+43.0739055,3741818,33,9702,20790419552168,CT,S,+43.0811020,Census Tract 9702,80399,970200,-072.4073681,1746,91233882,-072.4031267,G5020,M,005
4035,18097370204,+39.7086900,95167,18,3702.04,2079015489252111,CT,S,+39.7049445,Census Tract 3702.04,13694,370204,-086.2215364,1732,8074128,-086.2231384,G5020,M,097
4035,20123176600,+39.3929992,752707,20,1766,2079068351801,CT,S,+39.3786057,Census Tract 1766,51400,176600,-098.0279502,2108,650424749,-098.0272612,G5020,R,123
5470,55105002601,+42.5543458,228436,55,26.01,20790239529810,CT,S,+42.5585668,Census Tract 26.01,84014,002601,-088.9994444,2334,14055196,-088.9956987,G5020,M,105
4035,20123176600,+39.3929992,752707,20,1766,2079068351801,CT,S,+39.3786057,Census Tract 1766,51400,176600,-098.0279502,2108,650424749,-098.0272612,G5020,R,123
214,02122000100,+60.1531774,10061350110,02,1,2079045664702,CT,S,+60.1237794,Census Tract 1,80990,000100,-152.9469654,336,19686520401,-152.8411408,G5020,R,122
5060,37045950101,+35.5090612,57706,37,9501.01,207903717268098,CT,S,+35.5118631,Census Tract 9501.01,79076,950101,-081.5920481,2456,210030293,-081.5959820,G5020,R,045
8657,46103011400,+44.1200571,24243,46,114,20790212058340,CT,S,+44.1217765,Census Tract 114,71049,011400,-103.2108675,3869,66483222,-103.2012181,G5020,M,103
7330,34025804801,+40.2467259,121420,34,8048.01,2079015672688187,CT,S,+40.2471427,Census Tract 8048.01,2612,804801,-074.1018368,3361,17672514,-074.1042739,G5020,M,025
1965,41017001602,+44.0602979,12769,41,16.02,2079015489590405,CT,S,+44.0604492,Census Tract 16.02,26729,001602,-121.3009330,1000,2155870,-121.3016034,G5020,U,017
6210,34027046104,+40.8417934,143935,34,461.04,20790700677007,CT,S,+40.8419328,Census Tract 461.04,55096,046104,-074.7313258,2348,23562683,-074.7309257,G5020,M,027
