POP100,GEOID,CENTLAT,AREAWATER,STATE,BASENAME,OID,LSADC,FUNCSTAT,INTPTLAT,NAME,OBJECTID,TRACT,CENTLON,HU100,AREALAND,INTPTLON,MTFCC,UR,COUNTY
2300,19059450200,+43.3742283,5411393,19,4502,20790174234579,CT,S,+43.3787181,Census Tract 4502,41191,450200,-095.2794238,1128,470760456,-095.2790993,G5020,M,059
5167,12055961500,+27.3088511,76343484,12,9615,20790338252549,CT,S,+27.3017535,Census Tract 9615,37586,961500,-081.1659990,3172,408209925,-081.1508609,G5020,M,055
6672,04013610002,+33.8966073,3550002,04,6100.02,2079015682093731,CT,S,+33.8955266,Census Tract 6100.02,79532,610002,-112.1932759,2078,223767905,-112.1907307,G5020,M,013
3143,46077958100,+44.3686059,74527452,46,9581,20790219678493,CT,S,+44.3803669,Census Tract 9581,71845,958100,-097.3335615,1644,1178729802,-097.3186217,G5020,R,077
5464,27171100706,+45.1956407,14719427,27,1007.06,2079015489264866,CT,S,+45.1991794,Census Tract 1007.06,27676,100706,-093.8903452,1934,129360808,-093.8967642,G5020,M,171
2516,27111960700,+46.4993705,78475665,27,9607,20790974121916,CT,S,+46.5038759,Census Tract 9607,1943,960700,-095.9539880,1888,393654211,-095.9270612,G5020,R,111
3059,29021002900,+39.6156893,8159395,29,29,2079079179466,CT,S,+39.6146215,Census Tract 29,40857,002900,-094.9681716,1427,292377307,-094.9678688,G5020,M,021
4112,09015904400,+41.8443306,865932,09,9044,20790344427308,CT,S,+41.8423110,Census Tract 9044,37014,904400,-071.8970103,2098,18943465,-071.9007006,G5020,M,015
5060,49049010131,+40.3541273,26864,49,101.31,2079015504054016,CT,S,+40.3527923,Census Tract 101.31,32073,010131,-111.7997042,1498,21840663,-111.8004871,G5020,M,049
3144,27019090304,+44.8575223,16250330,27,903.04,2079015503683768,CT,S,+44.8631576,Census Tract 903.04,15587,090304,-093.8373354,1150,47412542,-093.8433354,G5020,M,019
3144,27019090304,+44.8575223,16250330,27,903.04,2079015503683768,CT,S,+44.8631576,Census Tract 903.04,15587,090304,-093.8373354,1150,47412542,-093.8433354,G5020,M,019
2959,26105950800,+43.8748610,20881800,26,9508,20790190589931,CT,S,+43.8711266,Census Tract 9508,44201,950800,-086.3672370,1820,146206041,-086.3668853,G5020,R,105
2930,27091790100,+43.8035309,5391725,27,7901,20790231041745,CT,S,+43.7970937,Census Tract 7901,24150,790100,-094.5527593,1398,478642189,-094.5627567,G5020,R,091
2353,27063480300,+43.5756910,8780561,27,4803,20790190143217,CT,S,+43.5824696,Census Tract 4803,81922,480300,-095.1891856,1156,275552317,-095.1856382,G5020,R,063
2353,27063480300,+43.5756910,8780561,27,4803,20790190143217,CT,S,+43.5824696,Census Tract 4803,81922,480300,-095.1891856,1156,275552317,-095.1856382,G5020,R,063
1713,34029739100,+39.9859884,1935143,34,7391,207903716851358,CT,S,+39.9855537,Census Tract 7391,25202,739100,-074.4381634,1328,140949276,-074.4371601,G5020,M,029
3530,12105011902,+27.9864709,187649,12,119.02,20790369673088,CT,S,+27.9882523,Census Tract 119.02,83888,011902,-082.0123837,1507,16701781,-082.0156776,G5020,M,105
3530,12105011902,+27.9864709,187649,12,119.02,20790369673088,CT,S,+27.9882523,Census Tract 119.02,83888,011902,-082.0123837,1507,16701781,-082.0156776,G5020,M,105
4384,13173950202,+30.9990052,3665634,13,9502.02,2079015482504195,CT,S,+31.0067692,Census Tract 9502.02,26648,950202,-083.1153352,1650,149400181,-083.1070785,G5020,R,173
7518,17167003100,+39.7167315,15113480,17,31,20790364127500,CT,S,+39.6907854,Census Tract 31,29331,003100,-089.6183327,3244,30042972,-089.6584293,G5020,M,167
2412,12093910402,+27.2343638,297835,12,9104.02,207903717518996,CT,S,+27.2293470,Census Tract 9104.02,20169,910402,-080.7606473,855,24573678,-080.7546773,G5020,M,093
5014,27027030202,+46.7360363,12686493,27,302.02,20790188211981,CT,S,+46.7392252,Census Tract 302.02,71537,030202,-096.3518062,2109,648046691,-096.3540991,G5020,R,027
7342,42049011202,+42.0375406,33002,42,112.02,20790469278513,CT,S,+42.0444971,Census Tract 112.02,33845,011202,-080.0512714,3316,62291161,-080.0493251,G5020,M,049
4435,25023540101,+41.8718893,584249,25,5401.01,207903716684227,CT,S,+41.8669369,Census Tract 5401.01,77787,540101,-070.9508188,1870,23484783,-070.9463711,G5020,M,023
12984,34029715800,+40.0626903,97131,34,7158,20790537525662,CT,S,+40.0639428,Census Tract 7158,16442,715800,-074.1932367,2756,12610503,-074.1881906,G5020,U,029
2944,27081201001,+44.4758170,18698197,27,2010.01,207903143924693,CT,S,+44.4822042,Census Tract 2010.01,53563,201001,-096.2649544,1624,983064943,-096.2712034,G5020,R,081
2236,19109950100,+43.3904882,3197151,19,9501,20790130539452,CT,S,+43.4096577,Census Tract 9501,59948,950100,-094.1857809,1161,897298939,-094.1781603,G5020,R,109
1931,08099000700,+37.9215548,8145734,08,7,207903711085432,CT,S,+37.9120076,Census Tract 7,82771,000700,-102.4781286,915,2555465409,-102.4817982,G5020,M,099
3307,48277000800,+33.6297988,384572,48,8,20790348762323,CT,S,+33.6278067,Census Tract 8,3148,000800,-095.5596973,1569,30711673,-095.5598393,G5020,M,277
6327,06095253501,+38.2462710,17247936,06,2535.01,2079015495961224,CT,S,+38.2466064,Census Tract 2535.01,243,253501,-121.7612693,3649,367197238,-121.7607697,G5020,M,095
3266,48115950402,+32.7269903,183008,48,9504.02,207903717922705,CT,S,+32.7116702,Census Tract 9504.02,61394,950402,-101.9689181,755,81959645,-101.9935199,G5020,M,115
3266,48115950402,+32.7269903,183008,48,9504.02,207903717922705,CT,S,+32.7116702,Census Tract 9504.02,61394,950402,-101.9689181,755,81959645,-101.9935199,G5020,M,115
3325,19053960200,+40.7552251,2116701,19,9602,20790179399494,CT,S,+40.7532080,Census Tract 9602,48775,960200,-093.9214316,1588,535233518,-093.9188731,G5020,R,053
1962,48327950300,+30.8897821,613559,48,9503,207903672152281,CT,S,+30.8852677,Census Tract 9503,23719,950300,-099.8205840,1329,2336237980,-099.8588613,G5020,R,327
3367,15009031601,+20.8365477,59344100,15,316.01,207903716739736,CT,S,+20.8364824,Census Tract 316.01,53554,031601,-156.9303317,1531,365360725,-156.9273772,G5020,R,009
2011,06037901300,+34.7161592,130971,06,9013,2079015902970584,CT,S,+34.7122504,Census Tract 9013,11736,901300,-117.9817066,757,269735201,-117.9785573,G5020,R,037
2733,06037901216,+34.6776638,93301,06,9012.16,2079015902970055,CT,S,+34.6777567,Census Tract 9012.16,12722,901216,-118.2848583,874,41422613,-118.2827356,G5020,M,037
