POP100,GEOID,CENTLAT,AREAWATER,STATE,BASENAME,OID,LSADC,FUNCSTAT,INTPTLAT,NAME,OBJECTID,TRACT,CENTLON,HU100,AREALAND,INTPTLON,MTFCC,UR,COUNTY,error,lat,lng
4125.0,48341950202,+35.8037890,25040683.0,48,9502.02,2079015503491070,CT,S,+35.8087170,Census Tract 9502.02,33456.0,950202,-101.9521048,1605.0,1668426770.0,-101.9509669,G5020,M,341,,,
4677.0,55005000500,+45.4907199,0.0,55,5,20790688937393,CT,S,+45.4907199,Census Tract 5,82549.0,000500,-091.7556532,2139.0,20600571.0,-091.7556532,G5020,M,005,,,
4445.0,27131070300,+44.2971677,27726304.0,27,703,20790400278435,CT,S,+44.2455781,Census Tract 703,22816.0,070300,-093.4301896,2277.0,244412091.0,-093.4698721,G5020,M,131,,,
2849.0,48201980300,+29.7172259,0.0,48,9803,2079015702375217,CT,S,+29.7172259,Census Tract 9803,14558.0,980300,-095.4027324,23.0,1216879.0,-095.4027324,G5020,U,201,,,
3601.0,13105000502,+34.0428872,23647224.0,13,5.02,2079015491018294,CT,S,+34.0375672,Census Tract 5.02,3458.0,000502,-082.7196895,1886.0,224581474.0,-082.7190084,G5020,M,105,,,
5172.0,32031003203,+39.3659242,0.0,32,32.03,207903716543964,CT,S,+39.3659242,Census Tract 32.03,79421.0,003203,-119.7942690,2073.0,42024250.0,-119.7942690,G5020,M,031,,,
4126.0,06073010016,+32.5796769,0.0,06,100.16,2079015682043669,CT,S,+32.5796769,Census Tract 100.16,25445.0,010016,-116.9587972,6.0,19164041.0,-116.9587972,G5020,M,073,,,
4945.0,36103158605,+40.8224633,0.0,36,1586.05,20790498691299,CT,S,+40.8224633,Census Tract 1586.05,69530.0,158605,-073.0688383,1568.0,4734416.0,-073.0688383,G5020,U,103,,,
3529.0,45011970300,+33.2726402,1240485.0,45,9703,20790212468048,CT,S,+33.2731810,Census Tract 9703,36147.0,970300,-081.3754158,1676.0,69121074.0,-081.3721662,G5020,R,011,,,
4318.0,39039958500,+41.2954604,696372.0,39,9585,2079078567685,CT,S,+41.2953013,Census Tract 9585,25559.0,958500,-084.3582778,1867.0,12337761.0,-084.3573972,G5020,M,039,,,
2617.0,19161080200,+42.2910183,570664.0,19,802,20790366980246,CT,S,+42.2914909,Census Tract 802,66581.0,080200,-095.1862166,1199.0,423512244.0,-095.1739692,G5020,R,161,,,
1846.0,13259950100,+32.0858608,1225065.0,13,9501,20790386420885,CT,S,+32.0857209,Census Tract 9501,77029.0,950100,-084.6953142,969.0,314904167.0,-084.7009735,G5020,R,259,,,
3454.0,55103970400,+43.3272547,134809.0,55,9704,20790693655062,CT,S,+43.3245454,Census Tract 9704,58791.0,970400,-090.3707806,1760.0,48318463.0,-090.3717001,G5020,M,103,,,
5878.0,45079011407,+34.1123171,841032.0,45,114.07,20790242041970,CT,S,+34.1090625,Census Tract 114.07,8796.0,011407,-080.7950223,2661.0,29447936.0,-080.7877667,G5020,M,079,,,
2212.0,13289060102,+32.7145187,1837563.0,13,601.02,2079015489690070,CT,S,+32.7037015,Census Tract 601.02,13107.0,060102,-083.3907556,1111.0,311592696.0,-083.4092296,G5020,R,289,,,
1955.0,37133000303,+34.8020335,63323.0,37,3.03,2079015489538677,CT,S,+34.8001314,Census Tract 3.03,20059.0,000303,-077.6323863,889.0,62651072.0,-077.6405085,G5020,R,133,,,
2248.0,18177010500,+39.8520899,1072898.0,18,105,20790119677329,CT,S,+39.8516278,Census Tract 105,51031.0,010500,-085.0806364,877.0,143767234.0,-085.0875322,G5020,R,177,,,
1669.0,36069052003,+42.7521492,5077036.0,36,520.03,2079015681708027,CT,S,+42.7430713,Census Tract 520.03,10241.0,052003,-077.5004566,1288.0,38135363.0,-077.4911747,G5020,R,069,,,
3865.0,18177001101,+39.8122289,25193.0,18,11.01,2079015483064394,CT,S,+39.8127466,Census Tract 11.01,28528.0,001101,-084.8605811,1755.0,8726599.0,-084.8596970,G5020,M,177,,,
3865.0,18177001101,+39.8122289,25193.0,18,11.01,2079015483064394,CT,S,+39.8127466,Census Tract 11.01,28528.0,001101,-084.8605811,1755.0,8726599.0,-084.8596970,G5020,M,177,,,
3797.0,27145011102,+45.5044577,3404532.0,27,111.02,2079015495348022,CT,S,+45.5048594,Census Tract 111.02,37493.0,011102,-094.6385361,1504.0,310805767.0,-094.6376023,G5020,R,145,,,
3892.0,06013378000,+37.9362146,10724349.0,06,3780,20790146186895,CT,S,+37.9448236,Census Tract 3780,27710.0,378000,-122.3937718,2090.0,16960129.0,-122.4048055,G5020,U,013,,,
3639.0,13245010904,+33.3299751,321240.0,13,109.04,207903717342369,CT,S,+33.3334870,Census Tract 109.04,65742.0,010904,-082.1129193,1468.0,48835970.0,-082.1350999,G5020,M,245,,,
4489.0,51087201504,+37.4966448,522662.0,51,2015.04,2079015624758478,CT,S,+37.4944407,Census Tract 2015.04,22570.0,201504,-077.3711902,1862.0,14921509.0,-077.3669332,G5020,M,087,,,
2389.0,42101037800,+39.9795134,1907950.0,42,378,207903717001613,CT,S,+39.9805802,Census Tract 378,31213.0,037800,-075.0950055,1244.0,3764033.0,-075.0956845,G5020,U,101,,,
6045.0,13245010706,+33.3575234,184083.0,13,107.06,20790389383398,CT,S,+33.3575257,Census Tract 107.06,74634.0,010706,-081.9953509,2593.0,30721364.0,-081.9950620,G5020,M,245,,,
3522.0,23023970100,+44.1236520,2938301.0,23,9701,20790167966501,CT,S,+44.1168327,Census Tract 9701,71674.0,970100,-069.8288486,1695.0,78811668.0,-069.8296069,G5020,R,023,,,
8020.0,44009050600,+41.4982946,1119929.0,44,506,2079019653491630,CT,S,+41.4947074,Census Tract 506,28225.0,050600,-071.6607470,3173.0,104433008.0,-071.6693091,G5020,R,009,,,
2693.0,18177001102,+39.8329262,336237.0,18,11.02,2079015483064358,CT,S,+39.8327050,Census Tract 11.02,28527.0,001102,-084.8372194,1408.0,14480170.0,-084.8355523,G5020,M,177,,,
1818.0,18177000600,+39.8525397,181820.0,18,6,20790119677312,CT,S,+39.8525209,Census Tract 6,50961.0,000600,-084.9296030,891.0,20170724.0,-084.9269967,G5020,M,177,,,
2693.0,18177001102,+39.8329262,336237.0,18,11.02,2079015483064358,CT,S,+39.8327050,Census Tract 11.02,28527.0,001102,-084.8372194,1408.0,14480170.0,-084.8355523,G5020,M,177,,,
5768.0,51177020407,+38.2402520,1554424.0,51,204.07,207903715387087,CT,S,+38.2385589,Census Tract 204.07,55646.0,020407,-077.7327532,2170.0,125432109.0,-077.7325098,G5020,R,177,,,
2927.0,36085006700,+40.6351922,1786.0,36,67,207903716545080,CT,S,+40.6355428,Census Tract 67,15434.0,006700,-074.1011033,1187.0,950892.0,-074.1012037,G5020,U,085,,,
1101.0,08075965900,+40.9163229,3036714.0,08,9659,20790354384145,CT,S,+40.9256808,Census Tract 9659,52121.0,965900,-103.1044781,530.0,1425416244.0,-103.0746508,G5020,R,075,,,
2428.0,17183011100,+39.9508720,548641.0,17,111,20790535393056,CT,S,+39.9476695,Census Tract 111,13215.0,011100,-087.5961888,1124.0,192828052.0,-087.5887299,G5020,R,183,,,
5500.0,48215022010,+26.1704523,0.0,48,220.10,2079015497324601,CT,S,+26.1704523,Census Tract 220.10,66804.0,022010,-098.0985920,2086.0,5397171.0,-098.0985920,G5020,U,215,,,
5184.0,37151031200,+35.8631670,707605.0,37,312,20790163359869,CT,S,+35.8640230,Census Tract 312,15578.0,031200,-079.5987688,2353.0,90602443.0,-079.6000548,G5020,R,151,,,
2613.0,11001007403,+38.8484714,0.0,11,74.03,20790331304317,CT,S,+38.8484714,Census Tract 74.03,70972.0,007403,-076.9743805,1056.0,330904.0,-076.9743805,G5020,U,001,,,
7760.0,45053950201,+32.3982837,2959622.0,45,9502.01,207903717545095,CT,S,+32.3984799,Census Tract 9502.01,84305.0,950201,-080.9417029,4137.0,232020716.0,-080.9415727,G5020,M,053,,,
