POP100,GEOID,CENTLAT,AREAWATER,STATE,BASENAME,OID,LSADC,FUNCSTAT,INTPTLAT,NAME,OBJECTID,TRACT,CENTLON,HU100,AREALAND,INTPTLON,MTFCC,UR,COUNTY,error,lat,lng
2930.0,06071009915,+34.5529182,33219.0,06,99.15,2079015504322408,CT,S,+34.5534446,Census Tract 99.15,70797.0,009915,-117.3125221,810.0,5914520.0,-117.3149808,G5020,M,071,,,
2094.0,06053011106,+36.4661175,97050.0,06,111.06,2079015682285466,CT,S,+36.4616023,Census Tract 111.06,16399.0,011106,-121.2917888,514.0,115201588.0,-121.2981854,G5020,M,053,,,
5918.0,06071002207,+34.0931826,0.0,06,22.07,207903716835845,CT,S,+34.0931826,Census Tract 22.07,65296.0,002207,-117.5314707,1000.0,7977000.0,-117.5314707,G5020,U,071,,,
5148.0,06053010804,+36.4929253,7445605.0,06,108.04,207903717086695,CT,S,+36.4923580,Census Tract 108.04,62129.0,010804,-121.4847291,1357.0,119546802.0,-121.4789669,G5020,M,053,,,
4764.0,06065043813,+33.9343336,0.0,06,438.13,207903717221792,CT,S,+33.9343336,Census Tract 438.13,55064.0,043813,-116.8252484,1747.0,322882633.0,-116.8252484,G5020,M,065,,,
4764.0,06065043813,+33.9343336,0.0,06,438.13,207903717221792,CT,S,+33.9343336,Census Tract 438.13,55064.0,043813,-116.8252484,1747.0,322882633.0,-116.8252484,G5020,M,065,,,
3656.0,06077005213,+37.7202014,39514.0,06,52.13,2079015482287086,CT,S,+37.7172530,Census Tract 52.13,16526.0,005213,-121.5069164,1121.0,38565602.0,-121.4942375,G5020,M,077,,,
5979.0,06053010900,+36.4720068,15260.0,06,109,20790331005449,CT,S,+36.4743205,Census Tract 109,46266.0,010900,-121.3765626,32.0,3736271.0,-121.3770688,G5020,R,053,,,
4254.0,06053011204,+36.3450010,8213218.0,06,112.04,207903717086717,CT,S,+36.3542967,Census Tract 112.04,71636.0,011204,-121.2432340,1075.0,237513747.0,-121.2461093,G5020,M,053,,,
8381.0,06095253402,+38.4433408,22211.0,06,2534.02,20790692865189,CT,S,+38.4426719,Census Tract 2534.02,61821.0,253402,-121.8186189,2887.0,16728312.0,-121.8165138,G5020,M,095,,,
3905.0,06103000800,+40.0745949,1880376.0,06,8,20790665104080,CT,S,+40.0733075,Census Tract 8,76637.0,000800,-122.1862395,1545.0,130901191.0,-122.1795281,G5020,M,103,,,
5056.0,44005040104,+41.5700173,4435418.0,44,401.04,2079015504483582,CT,S,+41.5702749,Census Tract 401.04,10132.0,040104,-071.2762575,2256.0,15047720.0,-071.2733439,G5020,M,005,,,
4767.0,27045960200,+43.7718391,0.0,27,9602,20790187188942,CT,S,+43.7718391,Census Tract 9602,33700.0,960200,-092.2463631,2020.0,456402543.0,-092.2463631,G5020,R,045,,,
6051.0,13049010101,+30.9167620,3981935.0,13,101.01,2079015488642380,CT,S,+30.9265453,Census Tract 101.01,15786.0,010101,-082.1589285,1705.0,1197870844.0,-082.1764728,G5020,R,049,,,
3528.0,08041004516,+38.5914855,69069.0,08,45.16,2079015502950992,CT,S,+38.5831487,Census Tract 45.16,8272.0,004516,-104.6930515,1288.0,96577374.0,-104.7078502,G5020,M,041,,,
4326.0,35045943000,+36.4654442,6422192.0,35,9430,207901462359039,CT,S,+36.4786969,Census Tract 9430,32628.0,943000,-108.4194479,1346.0,1612780307.0,-108.4351236,G5020,R,045,,,
4892.0,41059950500,+45.6177509,0.0,41,9505,20790448396577,CT,S,+45.6177509,Census Tract 9505,55719.0,950500,-119.1129573,2051.0,1073211597.0,-119.1129573,G5020,M,059,,,
3165.0,41049970200,+45.3532386,1225618.0,41,9702,20790207283925,CT,S,+45.3524471,Census Tract 9702,82409.0,970200,-119.5529948,1636.0,4462617793.0,-119.5528987,G5020,R,049,,,
3271.0,26007000600,+45.1032739,1218290.0,26,6,2079054159389,CT,S,+45.1087215,Census Tract 6,41141.0,000600,-083.4928175,1617.0,21763145.0,-083.4963460,G5020,M,007,,,
2454.0,05119004007,+34.6670262,6773294.0,05,40.07,20790330118805,CT,S,+34.6744113,Census Tract 40.07,33188.0,004007,-092.2071683,1214.0,81230369.0,-092.2153531,G5020,M,119,,,
2486.0,24023000300,+39.6145484,1421234.0,24,3,20790156252805,CT,S,+39.6209480,Census Tract 3,22985.0,000300,-079.0685205,1249.0,326808514.0,-079.0544096,G5020,R,023,,,
6170.0,36091062700,+42.8050867,1995127.0,36,627,20790725057067,CT,S,+42.8041515,Census Tract 627,36588.0,062700,-073.6923769,2862.0,16275173.0,-073.6872928,G5020,M,091,,,
3094.0,18007100200,+40.6497321,105024.0,18,1002,20790129338265,CT,S,+40.6569774,Census Tract 1002,78249.0,100200,-087.2953618,1348.0,278217230.0,-087.2954498,G5020,R,007,,,
3094.0,18007100200,+40.6497321,105024.0,18,1002,20790129338265,CT,S,+40.6569774,Census Tract 1002,78249.0,100200,-087.2953618,1348.0,278217230.0,-087.2954498,G5020,R,007,,,
4170.0,27025110700,+45.4660225,3490753.0,27,1107,20790191879543,CT,S,+45.4662220,Census Tract 1107,10871.0,110700,-092.7389703,1697.0,166010742.0,-092.7434923,G5020,R,025,,,
