STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,GEOID_2020,COUNTY_x,StateDesc,STATEABBR,LOCATION,E_TOTPOP,M_TOTPOP,E_DAYPOP,SPL_EJI,RPL_EJI,SPL_SER,RPL_SER,SPL_EJI_CBM,RPL_EJI_CBM,E_MINRTY,EPL_MINRTY,SPL_SVM_DOM1,RPL_SVM_DOM1,E_POV200,EPL_POV200,E_NOHSDP,EPL_NOHSDP,E_UNEMP,EPL_UNEMP,E_RENTER,EPL_RENTER,E_HOUBDN,EPL_HOUBDN,E_UNINSUR,EPL_UNINSUR,E_NOINT,EPL_NOINT,SPL_SVM_DOM2,RPL_SVM_DOM2,E_AGE65,EPL_AGE65,E_AGE17,EPL_AGE17,E_DISABL,EPL_DISABL,E_LIMENG,EPL_LIMENG,SPL_SVM_DOM3,RPL_SVM_DOM3,E_MOBILE,EPL_MOBILE,E_GROUPQ,EPL_GROUPQ,SPL_SVM_DOM4,RPL_SVM_DOM4,SPL_SVM,RPL_SVM,E_OZONE,EPL_OZONE,E_PM,EPL_PM,E_DSLPM,EPL_DSLPM,E_TOTCR,EPL_TOTCR,SPL_EBM_DOM1,RPL_EBM_DOM1,E_NPL,EPL_NPL,E_TRI,EPL_TRI,E_TSD,EPL_TSD,E_RMP,EPL_RMP,E_COAL,EPL_COAL,E_LEAD,EPL_LEAD,SPL_EBM_DOM2,RPL_EBM_DOM2,E_PARK,EPL_PARK,E_HOUAGE,EPL_HOUAGE,E_WLKIND,EPL_WLKIND,SPL_EBM_DOM3,RPL_EBM_DOM3,E_RAIL,EPL_RAIL,E_ROAD,EPL_ROAD,E_AIRPRT,EPL_AIRPRT,SPL_EBM_DOM4,RPL_EBM_DOM4,E_IMPWTR,EPL_IMPWTR,F_IMPWTR,SPL_EBM_DOM5,RPL_EBM_DOM5,SPL_EBM,RPL_EBM,E_ASTHMA,EPL_ASTHMA,F_ASTHMA,E_CANCER,EPL_CANCER,F_CANCER,E_CHD,EPL_CHD,F_CHD,E_MHLTH,EPL_MHLTH,F_MHLTH,E_DIABETES,EPL_DIABETES,F_DIABETES,F_HVM,RPL_HVM,E_NEHD,EPL_NEHD,SPL_CBM_DOM1,RPL_CBM_DOM1,E_BURN,EPL_BURN,E_SMOKE,EPL_SMOKE,SPL_CBM_DOM2,RPL_CBM_DOM2,E_CFLD,EPL_CFLD,F_CFLD,E_DRGT,EPL_DRGT,F_DRGT,E_HRCN,EPL_HRCN,F_HRCN,E_RFLD,EPL_RFLD,F_RFLD,E_SWND,EPL_SWND,F_SWND,E_TRND,EPL_TRND,F_TRND,SPL_CBM_DOM3,RPL_CBM_DOM3,SPL_CBM,RPL_CBM,AFAM,E_AFAM,HISP,E_HISP,ASIAN,E_ASIAN,AIAN,E_AIAN,NHPI,E_NHPI,TWOMORE,E_TWOMORE,OTHERRACE,E_OTHERRACE,Tribe_PCT_Tract,Tribe_Names,Tribe_Flag,Unnamed: 0.1,Unnamed: 0,plant_name,Plant Code,State,Sector Name,Prime Movers,Fuel Types,Primary Technology,withdrawal_volume_million_gallons,discharge_volume_million_gallons,consumption_volume_million_gallons,energy_category,map_link,longitude,latitude,STATE,COUNTY_y,TRACT,contains_energy_source,Technology_Category,Category_Number,fossil_fuels,renewables,energy_category_numeric,Power Plant,Owner,Description,Latitude,Longitude,IntPtLat,IntPtLon,proposed_location,Band,distance_to_plant,num_energy_sources,plant_names,natural_gas,within_one_km,within_5_km,within_10_km,within_1_km,within_20_km
24.0,3.0,740106.0,140000US24003740106,24003740106.0,24003740106.0,Anne Arundel County,Maryland,MD,Census Tract 7401.06; Anne Arundel County; Maryland,3250.0,517.0,12044.0,1.0585,0.3659,1.0585,0.565,1.7815,0.4857,60.2,0.7337,0.7337,0.7337,7.7362,0.0653,8.2,0.4792,2.1,0.1819,45.3,0.7006,7.4,0.0209,0.3,0.0128,10.8,0.5149,1.9756,0.1724,10.3,0.1883,17.9,0.2746,9.0,0.24,0.0,0.0,0.7029,0.0178,0.0,0.0,7.2,0.9328,0.9328,0.6086,4.345,0.1293,0.913,0.805,0.0,0.0,0.374,0.803,40.0,0.9248,2.5328,0.8496,0.0,0.0,73.2239,0.737,78.6399,0.7668,7.7484,0.7662,0.0,0.0,0.0,0.0,2.27,0.8473,100.0,0.5514,32.4,0.2607,6.6111,0.7076,1.5197,0.3736,82.6803,0.719,99.4946,0.5886,0.0,0.0,1.3076,0.6317,0.995,0.8524,0.0,0.8524,0.8524,8.4825,0.9292,10.5,0.4749,0.0,5.9,0.2434,0.0,4.2,0.0701,0.0,15.4,0.3154,0.0,8.6,0.1142,0.0,0.0,0.0,8.2,0.1849,0.1849,0.1849,0.0,0.0,6.3,0.2945,0.2945,0.2919,0.0,0.0,0.0,6.0455,0.3257,9.0,0.095,0.6439,9.0,3.75,0.8048,9.0,7.4626,0.9606,9.0,0.0,0.0,0.0,2.735,0.8944,3.2144,0.723,1232.0,37.9,381.0,11.7,188.0,5.8,0.0,0.0,0.0,0.0,156.0,4.8,0.0,0.0,0.0,-999,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0.0,,,,,,39.147417,-76.762203,0,2,2.3274711707650217,0,,False,False,1,1,0,1
24.0,3.0,740107.0,140000US24003740107,24003740107.0,24003740107.0,Anne Arundel County,Maryland,MD,Census Tract 7401.07; Anne Arundel County; Maryland,3768.0,1031.0,8944.0,0.8746,0.2532,0.8746,0.4149,1.5889,0.3762,71.3,0.8007,0.8007,0.8007,20.3025,0.3352,1.0,0.0412,4.8,0.5218,62.4,0.8477,9.6,0.0452,6.4,0.4713,0.0,0.0,2.2624,0.2265,4.1,0.0259,22.2,0.5366,3.8,0.0197,0.2,0.2539,0.8361,0.0259,0.0,0.0,0.0,0.0,0.0,0.0,3.8992,0.0838,0.913,0.805,0.0,0.0,0.3595,0.7841,40.0,0.9248,2.5139,0.8466,0.0,0.0,18.9729,0.5295,9.7153,0.5534,0.0,0.0,0.0,0.0,0.0,0.0,1.0829,0.4668,100.0,0.5514,0.0,0.0,10.1111,0.4171,0.9685,0.0389,14.4904,0.4421,100.0,0.6136,5.4243,0.8809,1.9366,0.9382,1.0,0.8863,0.0,0.8863,0.8863,7.3882,0.7908,10.2,0.3849,0.0,4.1,0.0557,0.0,3.1,0.0234,0.0,15.3,0.3045,0.0,8.4,0.101,0.0,0.0,0.0,8.2,0.1849,0.1849,0.1849,0.0,0.0,6.1,0.2735,0.2735,0.2713,0.0,0.0,0.0,6.0455,0.3257,9.0,0.0953,0.6441,9.0,3.75,0.8048,9.0,7.4727,0.9607,9.0,0.0,0.0,0.0,2.7353,0.8945,3.1937,0.7143,1971.0,52.3,179.0,4.8,375.0,10.0,0.0,0.0,0.0,0.0,161.0,4.3,0.0,0.0,0.0,-999,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0.0,,,,,,39.159235,-76.736088,0,2,4.923429304574347,0,,False,False,1,1,0,1
24.0,3.0,740108.0,140000US24003740108,24003740108.0,24003740108.0,Anne Arundel County,Maryland,MD,Census Tract 7401.08; Anne Arundel County; Maryland,5871.0,696.0,3833.0,0.6073,0.12,0.6073,0.2132,0.8484,0.0611,46.8,0.6368,0.6368,0.6368,2.64,0.0069,9.1,0.5255,1.6,0.1242,42.2,0.6661,17.0,0.2373,3.9,0.2758,0.0,0.0,1.8358,0.1478,9.2,0.1452,18.0,0.2797,9.3,0.2606,0.5,0.3503,1.0358,0.0449,8.8,0.7729,0.1,0.3697,1.1426,0.7246,4.651,0.1657,0.913,0.805,0.0,0.0,0.354,0.7766,40.0,0.9248,2.5064,0.8453,0.0,0.0,0.0,0.0,40.5835,0.6725,0.0,0.0,0.0,0.0,0.0,0.0,0.6725,0.2963,100.0,0.5514,10.3,0.095,10.2222,0.4115,1.0579,0.0645,0.0,0.0,85.6543,0.4972,0.0,0.0,0.4972,0.1651,0.999,0.8805,0.0,0.8805,0.8805,5.6145,0.4416,10.2,0.3849,0.0,5.4,0.1869,0.0,3.8,0.0465,0.0,14.9,0.2609,0.0,8.7,0.1216,0.0,0.0,0.0,8.2,0.1849,0.1849,0.1849,0.0,0.0,6.1,0.2735,0.2735,0.2713,0.0,0.0,0.0,6.0455,0.3257,9.0,0.0935,0.6127,9.0,0.0,0.0,0.0,7.4121,0.9528,9.0,0.0,0.0,0.0,1.8912,0.5448,2.3496,0.2411,1193.0,20.3,716.0,12.2,635.0,10.8,0.0,0.0,0.0,0.0,206.0,3.5,0.0,0.0,0.0,-999,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0.0,,,,,,39.145344,-76.738128,0,2,4.893784939002075,0,,False,False,1,1,0,1
24.0,3.0,740400.0,140000US24003740400,24003740400.0,24003740400.0,Anne Arundel County,Maryland,MD,Census Tract 7404; Anne Arundel County; Maryland,4241.0,209.0,6294.0,,,,,,,76.0,0.8269,0.8269,0.8269,,,31.2,0.9463,,,,,,,,,,,,,3.6,0.0212,0.0,0.0,,,0.9,0.4413,,,,,100.0,0.9969,,,,,0.913,0.805,0.0,0.0,0.374,0.803,40.0,0.9248,2.5328,0.8496,0.0,0.0,100.0,0.8598,100.0,0.8446,9.9174,0.7808,0.0,0.0,0.0,0.0,2.4852,0.8985,100.0,0.5514,,,6.6111,0.7076,,,100.0,0.8112,100.0,0.6136,0.0,0.0,1.4248,0.7208,0.988,0.8383,0.0,0.8383,0.8383,,,11.2,0.6788,1.0,3.0,0.0145,0.0,4.8,0.1258,0.0,20.3,0.825,1.0,11.3,0.4116,0.0,2.0,0.4,8.2,0.1849,0.1849,0.1849,0.0,0.0,6.3,0.2945,0.2945,0.2919,0.0,0.0,0.0,5.7273,0.3153,9.0,0.0935,0.6127,9.0,3.75,0.8048,9.0,7.4121,0.9528,9.0,0.0,0.0,0.0,2.6856,0.8776,3.165,0.7032,2919.0,68.8,162.0,3.8,35.0,0.8,36.0,0.8,0.0,0.0,72.0,1.7,0.0,0.0,0.0,-999,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0.0,,,,,,39.140028,-76.77645,0,2,2.0213123894552476,0,,False,False,1,1,0,1
24.0,3.0,740601.0,140000US24003740601,24003740601.0,24003740601.0,Anne Arundel County,Maryland,MD,Census Tract 7406.01; Anne Arundel County; Maryland,5962.0,604.0,5241.0,1.1706,0.4356,0.9706,0.4933,1.869,0.5362,57.8,0.7177,0.7177,0.7177,24.0909,0.4186,5.4,0.3154,4.2,0.4524,66.7,0.8752,31.1,0.6903,4.4,0.3188,0.7,0.0279,3.0986,0.4083,4.1,0.0259,34.0,0.9633,8.3,0.1948,3.8,0.7179,1.9019,0.4216,0.0,0.0,0.0,0.0,0.0,0.0,5.7182,0.3194,0.913,0.805,0.0,0.0,0.3222,0.7264,30.0,0.4976,2.029,0.6989,0.0,0.0,39.2612,0.6224,73.4141,0.7547,0.0,0.0,0.0,0.0,0.0,0.0,1.3771,0.5692,100.0,0.5514,19.4,0.1575,7.0625,0.6592,1.3681,0.2346,4.386,0.373,98.286,0.57,0.0,0.0,0.943,0.4338,0.999,0.8805,0.0,0.8805,0.8805,6.5977,0.6512,11.2,0.6788,1.0,3.3,0.0199,0.0,2.6,0.0139,0.0,18.3,0.6557,0.0,6.8,0.0392,0.0,1.0,0.2,8.2,0.1849,0.1849,0.1849,0.0,0.0,6.3,0.2945,0.2945,0.2919,0.0,0.0,0.0,5.4091,0.302,9.0,0.0935,0.6127,9.0,3.75,0.8048,9.0,7.4121,0.9528,9.0,0.0,0.0,0.0,2.6723,0.8719,3.1517,0.6984,1560.0,26.2,750.0,12.6,631.0,10.6,0.0,0.0,15.0,0.3,490.0,8.2,0.0,0.0,0.0,-999,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0.0,,,,,,39.123269,-76.755645,0,2,4.71742241166829,0,,False,False,1,1,0,1
24.0,15.0,31400.0,140000US24015031400,24015031400.0,24015031400.0,Cecil County,Maryland,MD,Census Tract 314; Cecil County; Maryland,3947.0,459.0,2090.0,1.332,0.5302,0.732,0.3016,1.9623,0.5876,10.4,0.1703,0.1703,0.1703,18.1633,0.286,11.7,0.6345,6.6,0.69,12.4,0.1684,20.5,0.3654,2.2,0.1314,9.2,0.4408,2.7165,0.3216,20.2,0.6996,18.5,0.3069,15.5,0.6721,0.0,0.0,1.6786,0.2565,12.4,0.8218,0.4,0.5495,1.3713,0.8196,5.9367,0.3548,0.183,0.4757,0.091,0.5886,0.168,0.3588,20.0,0.0434,1.4665,0.4965,0.0,0.0,0.0,0.0,18.9388,0.6001,0.0,0.0,0.0,0.0,0.0,0.0,0.6001,0.2687,93.4334,0.6296,30.4,0.2435,4.75,0.8933,1.7664,0.624,44.7513,0.5882,64.8388,0.4155,0.0,0.0,1.0037,0.4671,0.457,0.4853,0.0,0.4853,0.4853,5.322,0.3772,11.6,0.7701,1.0,9.3,0.6799,1.0,8.1,0.7008,1.0,17.7,0.5899,0.0,13.2,0.6346,0.0,3.0,0.6,6.6,0.1146,0.1146,0.1146,0.0,0.0,6.3,0.2945,0.2945,0.2919,0.01,0.036,9.0,7.3182,0.3724,9.0,0.076,0.5691,9.0,2.625,0.6608,9.0,7.4622,0.9596,9.0,0.0,0.0,0.0,2.5979,0.8406,3.007,0.6303,100.0,2.5,111.0,2.8,0.0,0.0,13.0,0.3,0.0,0.0,185.0,4.7,0.0,0.0,0.0,-999,,3632.0,3632.0,Essential Power Rock Springs LLC,7835.0,MD,IPP Non-CHP,GT,NG,Natural Gas Fired Combustion Turbine,,,,Natural Gas,"map/?center=-76.15976,39.71901&level=14",-76.15976,39.71901,24.0,15.0,31400.0,1,Natural Gas,2,1,0,2.0,Rock Springs,Old Dominion Electric Cooperative (The Carlyle Group),"684 MW, natural gas-fired",39.71971481,-76.15807218,39.69945,-76.16166,1,1,,4,"Essential Power Rock Springs LLC, Wildcat Point Generation Facility",True,True,1,1,1,1
24.0,17.0,850709.0,140000US24017850709,24017850709.0,24017850709.0,Charles County,Maryland,MD,Census Tract 8507.09; Charles County; Maryland,7090.0,797.0,4852.0,0.9655,0.3074,0.7655,0.327,1.2933,0.2203,83.0,0.8661,0.8661,0.8661,19.5063,0.3166,4.7,0.2697,6.7,0.6984,36.7,0.5993,25.2,0.5279,3.1,0.2061,3.5,0.1447,2.7627,0.3319,13.9,0.3637,21.3,0.4783,9.4,0.2675,2.2,0.6113,1.7208,0.2846,3.8,0.6738,0.0,0.0,0.6738,0.3881,6.0234,0.3685,0.091,0.3188,0.0,0.0,0.2214,0.5073,30.0,0.4976,1.3237,0.445,0.0,0.0,18.9892,0.5296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5296,0.2433,100.0,0.5514,16.3,0.1355,6.7083,0.6974,1.3843,0.2478,84.094,0.7243,97.9699,0.5668,0.0,0.0,1.2911,0.6208,1.0,0.8863,0.0,0.8863,0.8863,5.415,0.397,12.4,0.8907,1.0,4.2,0.0639,0.0,3.9,0.0515,0.0,17.4,0.5557,0.0,11.5,0.437,0.0,1.0,0.2,8.6,0.2039,0.2039,0.2039,0.0,0.0,6.0,0.2651,0.2651,0.2629,0.0,0.0,0.0,3.8182,0.2403,9.0,0.0935,0.6127,9.0,1.2917,0.3048,9.0,5.9527,0.8703,9.0,0.0278,0.0,2.0,2.0281,0.612,2.4971,0.3278,5105.0,72.0,285.0,4.0,216.0,3.0,0.0,0.0,0.0,0.0,249.0,3.5,30.0,0.4,0.0,-999,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0.0,,,,,,38.645615,-76.902556,0,2,4.594856712704338,0,,False,False,1,1,0,1
24.0,17.0,850801.0,140000US24017850801,24017850801.0,24017850801.0,Charles County,Maryland,MD,Census Tract 8508.01; Charles County; Maryland,4742.0,470.0,1268.0,1.2365,0.4749,0.8365,0.3845,1.5357,0.3477,60.6,0.7364,0.7364,0.7364,18.0411,0.2831,10.8,0.5999,4.6,0.4996,9.7,0.1142,17.5,0.2551,1.3,0.0636,9.3,0.4456,2.2611,0.2262,17.3,0.5525,23.7,0.632,12.0,0.4533,1.2,0.4943,2.1321,0.621,0.6,0.498,0.6,0.6153,1.1133,0.7158,6.2429,0.4052,0.091,0.3188,0.0,0.0,0.1826,0.4006,30.0,0.4976,1.217,0.4003,0.0,0.0,18.3143,0.5257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5257,0.242,100.0,0.5514,71.0,0.6753,5.25,0.8477,2.0744,0.8464,54.9525,0.6257,72.0266,0.4428,0.0,0.0,1.0685,0.4996,0.795,0.6806,0.0,0.6806,0.6806,5.5662,0.4313,11.8,0.8079,1.0,8.1,0.5031,0.0,7.0,0.519,0.0,15.9,0.3739,0.0,14.1,0.7185,1.0,2.0,0.4,8.6,0.2039,0.2039,0.2039,0.0,0.0,6.0,0.2651,0.2651,0.2629,0.0,0.0,0.0,3.5,0.2012,9.0,0.0935,0.6127,9.0,1.2917,0.3048,9.0,5.9527,0.8703,9.0,0.0,0.0,0.0,1.989,0.5908,2.458,0.2992,2000.0,42.2,564.0,11.9,53.0,1.1,19.0,0.4,0.0,0.0,237.0,5.0,0.0,0.0,0.0,-999,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0.0,,,,,,38.650498,-76.85986,0,2,2.143403975755984,0,,False,False,1,1,0,1
24.0,17.0,850802.0,140000US24017850802,24017850802.0,24017850802.0,Charles County,Maryland,MD,Census Tract 8508.02; Charles County; Maryland,6028.0,932.0,8973.0,0.717,0.1683,0.517,0.1572,1.0388,0.1153,74.6,0.8187,0.8187,0.8187,14.3973,0.2025,5.9,0.3476,4.7,0.5103,24.1,0.4065,16.7,0.227,4.9,0.3598,0.6,0.0249,2.0786,0.1906,9.4,0.1529,30.8,0.9173,10.0,0.3104,0.3,0.2859,1.6665,0.2486,1.1,0.5511,0.1,0.3697,0.9208,0.5954,5.4846,0.2834,0.091,0.3188,0.0,0.0,0.1846,0.4067,30.0,0.4976,1.2231,0.4028,0.0,0.0,40.165,0.6257,0.893,0.4619,0.0,0.0,0.0,0.0,0.0,0.0,1.0876,0.4686,100.0,0.5514,15.9,0.133,7.9444,0.5711,1.2555,0.1579,21.0476,0.4817,58.5215,0.3928,0.0,0.0,0.8745,0.4052,0.059,0.184,0.0,0.184,0.184,4.6247,0.2336,12.3,0.8804,1.0,5.6,0.2095,0.0,5.0,0.1516,0.0,17.6,0.5792,0.0,12.0,0.4985,0.0,1.0,0.2,8.6,0.2039,0.2039,0.2039,0.0,0.0,5.9,0.2563,0.2563,0.2543,0.0,0.0,0.0,3.8182,0.2403,9.0,0.0935,0.6127,9.0,1.2917,0.3048,9.0,5.9527,0.8703,9.0,0.0278,0.0,2.0,2.0281,0.612,2.4883,0.3218,3114.0,51.7,793.0,13.2,98.0,1.6,31.0,0.5,17.0,0.3,443.0,7.3,0.0,0.0,0.0,-999,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0.0,,,,,,38.627384,-76.879037,0,2,4.688436633551391,0,,False,False,1,1,0,1
24.0,17.0,850901.0,140000US24017850901,24017850901.0,24017850901.0,Charles County,Maryland,MD,Census Tract 8509.01; Charles County; Maryland,5781.0,828.0,10370.0,1.5702,0.6587,0.9702,0.493,1.8641,0.5334,80.0,0.8496,0.8496,0.8496,29.3893,0.5324,8.6,0.4993,8.6,0.8129,55.1,0.7934,42.0,0.8778,2.9,0.1885,13.2,0.6148,4.3191,0.6936,13.1,0.3209,23.2,0.6004,10.1,0.3175,2.6,0.6442,1.883,0.4059,0.0,0.0,0.9,0.6739,0.6739,0.389,7.7256,0.6631,0.091,0.3188,0.0,0.0,0.2349,0.5407,30.0,0.4976,1.3571,0.458,0.0,0.0,87.4457,0.7858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7858,0.3443,100.0,0.5514,33.1,0.2671,9.1111,0.4769,1.2954,0.1833,83.3973,0.7215,95.5456,0.5478,0.0,0.0,1.2693,0.6073,0.19,0.291,0.0,0.291,0.291,4.9986,0.3071,13.3,0.9543,1.0,5.7,0.2209,0.0,6.1,0.3455,0.0,18.8,0.7053,1.0,14.2,0.7268,1.0,3.0,0.6,8.6,0.2039,0.2039,0.2039,0.0,0.0,5.9,0.2563,0.2563,0.2543,0.0,0.0,0.0,3.5,0.2012,9.0,0.0935,0.6127,9.0,1.2917,0.3048,9.0,5.9527,0.8703,9.0,0.0278,0.0,2.0,1.989,0.5908,2.4492,0.2939,3577.0,61.9,611.0,10.6,93.0,1.6,52.0,0.9,0.0,0.0,292.0,5.1,0.0,0.0,0.0,-999,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0.0,,,,,,38.609368,-76.901156,0,2,4.640415186010669,0,,False,False,1,1,0,1
