POP100,GEOID,CENTLAT,AREAWATER,STATE,BASENAME,OID,LSADC,FUNCSTAT,INTPTLAT,NAME,OBJECTID,TRACT,CENTLON,HU100,AREALAND,INTPTLON,MTFCC,UR,COUNTY
2563,36047001801,+40.6649009,252497,36,18.01,2079015785112078,CT,S,+40.6650413,Census Tract 18.01,35982,001801,-074.0014189,4,464952,-074.0002945,G5020,U,047
3081,19187010300,+42.3360817,21164,19,103,20790153503163,CT,S,+42.3325965,Census Tract 103,28401,010300,-094.2840315,1442,538431904,-094.2856378,G5020,R,187
99,34017006900,+40.7523334,280192,34,69,207903716664547,CT,S,+40.7527094,Census Tract 69,57230,006900,-074.0669977,40,3563075,-074.0682964,G5020,U,017
4256,34017020100,+40.7651660,881947,34,201,207903716664487,CT,S,+40.7655429,Census Tract 201,57301,020100,-074.0827793,1902,4134965,-074.0822016,G5020,U,017
3772,36071010602,+41.5526056,851261,36,106.02,2079015503777658,CT,S,+41.5528673,Census Tract 106.02,62230,010602,-074.1535721,1492,33938273,-074.1508134,G5020,M,071
4124,16029960100,+42.7065819,13415312,16,9601,20790496295057,CT,S,+42.6943684,Census Tract 9601,55421,960100,-111.8640312,1729,1645447782,-111.8511424,G5020,R,029
5196,35009000602,+34.6821032,4067730,35,6.02,207903716954392,CT,S,+34.6980284,Census Tract 6.02,27116,000602,-103.2270395,2178,1898966918,-103.2524869,G5020,M,009
1727,19147960200,+43.0743658,154109,19,9602,20790145096670,CT,S,+43.0753006,Census Tract 9602,10920,960200,-094.7394476,863,338397456,-094.7456553,G5020,R,147
1508,38099957900,+48.4202108,680743,38,9579,20790465530320,CT,S,+48.4204239,Census Tract 9579,61509,957900,-097.3874328,680,15170890,-097.3888961,G5020,R,099
6768,25027738202,+42.2116692,162980,25,7382.02,207903709722812,CT,S,+42.2094168,Census Tract 7382.02,40434,738202,-071.6662979,2639,27317090,-071.6705188,G5020,M,027
6768,25027738202,+42.2116692,162980,25,7382.02,207903709722812,CT,S,+42.2094168,Census Tract 7382.02,40434,738202,-071.6662979,2639,27317090,-071.6705188,G5020,M,027
3277,48503950402,+33.1047989,33564308,48,9504.02,2079015504202923,CT,S,+33.1073017,Census Tract 9504.02,24760,950402,-098.7558970,1800,1272009559,-098.7591382,G5020,M,503
2950,37047930600,+34.2763073,978052,37,9306,20790499870920,CT,S,+34.2820986,Census Tract 9306,52573,930600,-078.9538352,1466,210436553,-078.9447753,G5020,R,047
3366,36105950100,+41.8720185,9041006,36,9501,20790737116926,CT,S,+41.8659680,Census Tract 9501,6876,950100,-074.5910429,2020,214381821,-074.5904573,G5020,R,105
3164,22093040100,+30.1086598,2657258,22,401,2079052402325,CT,S,+30.1099428,Census Tract 401,64546,040100,-090.6842081,1359,67659441,-090.7031342,G5020,M,093
2661,36075021104,+43.3221129,177195,36,211.04,20790695177880,CT,S,+43.3212228,Census Tract 211.04,71806,021104,-076.4281757,1301,2462700,-076.4275311,G5020,M,075
3495,08049000207,+40.2067126,18504377,08,2.07,2079015489735105,CT,S,+40.0990834,Census Tract 2.07,17297,000207,-105.8393466,2622,1248267738,-105.7570366,G5020,M,049
6110,25015820900,+42.2608107,666977,25,8209,20790401253605,CT,S,+42.2449487,Census Tract 8209,69330,820900,-072.5036157,2498,72035965,-072.5001426,G5020,M,015
6110,25015820900,+42.2608107,666977,25,8209,20790401253605,CT,S,+42.2449487,Census Tract 8209,69330,820900,-072.5036157,2498,72035965,-072.5001426,G5020,M,015
2646,29095015200,+39.1025318,380248,29,152,207903711774520,CT,S,+39.1020195,Census Tract 152,49603,015200,-094.5967408,2405,3401012,-094.5974846,G5020,U,095
2763,26049012906,+42.8914585,198317,26,129.06,2079059452695,CT,S,+42.8930821,Census Tract 129.06,36864,012906,-083.7129057,1105,17637745,-083.7096898,G5020,M,049
4770,27115950500,+46.0133649,2531111,27,9505,20790461380407,CT,S,+46.0143881,Census Tract 9505,18775,950500,-092.9915595,2335,420984236,-092.9856418,G5020,R,115
2777,53047940100,+48.2438102,18362646,53,9401,207903718125321,CT,S,+48.2528216,Census Tract 9401,36931,940100,-118.9587709,1130,924671494,-118.9373206,G5020,R,047
3133,28021950100,+32.0286751,29400180,28,9501,2079092660648,CT,S,+32.0192793,Census Tract 9501,34756,950100,-090.8841820,1484,762079658,-090.8974683,G5020,R,021
1010,22051027903,+29.4854761,357979186,22,279.03,2079015482497944,CT,S,+29.5520430,Census Tract 279.03,5490,027903,-090.0440307,1831,285648202,-090.0453640,G5020,R,051
2422,19073080200,+42.0377502,454458,19,802,20790176767535,CT,S,+42.0417264,Census Tract 802,3106,080200,-094.3268469,1144,300780625,-094.3251979,G5020,R,073
2152,27031480200,+47.7770050,8474067,27,4802,20790254476613,CT,S,+47.7989370,Census Tract 4802,62473,480200,-090.4407767,1456,148540317,-090.4463588,G5020,R,031
1867,27099001200,+43.7831517,245,27,12,20790244373672,CT,S,+43.7823405,Census Tract 12,55493,001200,-092.8393562,796,375162306,-092.8408387,G5020,R,099
4389,36119012900,+41.2078564,8215,36,129,20790701644300,CT,S,+41.2068392,Census Tract 129,65335,012900,-073.7278644,1909,1442405,-073.7285791,G5020,U,119
2335,26109960300,+45.4642670,9055742,26,9603,20790306650649,CT,S,+45.4681446,Census Tract 9603,50485,960300,-087.7142736,1550,447058735,-087.7183814,G5020,R,109
5459,17099963700,+41.2029499,10098457,17,9637,20790348749973,CT,S,+41.1997248,Census Tract 9637,35139,963700,-088.6907694,2350,377903166,-088.6913869,G5020,M,099
