,plant_name,Plant Code,State,Sector Name,Prime Movers,Fuel Types,Primary Technology,withdrawal_volume_million_gallons,discharge_volume_million_gallons,consumption_volume_million_gallons,energy_category,map_link,longitude,latitude
0,(3K) 59 Hetcheltown Rd,66729,NY,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-73.91048,42.87657&level=14",-73.91048,42.87657
1,0 Hammond St CSG,64876,MA,IPP Non-CHP,"BA, PV","MWH, SUN",Multiple,,,,Other,"map/?center=-70.726675,41.808547&level=14",-70.726675,41.808547
2,1 Commercial,67464,MA,IPP Non-CHP,"BA, PV","MWH, SUN",Multiple,,,,Other,"map/?center=-71.237,42.115&level=14",-71.237,42.115
3,"10 Briggs Solar NG, LLC (East)",62781,RI,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-71.49625,41.63269&level=14",-71.49625,41.63269
4,"10 Finderne Avenue Solar, LLC",64023,NJ,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-74.57594,40.55812&level=14",-74.57594,40.55812
5,100 Brook Hill Drive Solar,63292,NY,Commercial Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-73.9828,41.09305&level=14",-73.9828,41.09305
6,100 Lower,65620,NY,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-74.539,41.294&level=14",-74.539,41.294
7,1001 Ebenezer Church Solar,63444,NC,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-80.843419,36.283819&level=14",-80.843419,36.283819
8,1008 Matthews Solar,63447,NC,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-80.552473,36.21669&level=14",-80.552473,36.21669
9,1009 Yadkin Solar,63445,NC,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-80.656114,36.14749&level=14",-80.656114,36.14749
0,"101 Carnegie Center Solar, LLC",64025,NJ,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-74.64512,40.32312&level=14",-74.64512,40.32312
1,"1025 Traveller Solar, LLC",62660,NC,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-79.126319,35.427308&level=14",-79.126319,35.427308
2,"1034 Catherine Lake Solar, LLC",64478,NC,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-77.498759,34.78471&level=14",-77.498759,34.78471
3,1045 Tomlin Mill Solar,63448,NC,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-80.835488,35.916178&level=14",-80.835488,35.916178
4,"1047 Little Mountain Solar, LLC",62661,NC,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-80.806725,36.197067&level=14",-80.806725,36.197067
5,"1051 Lucky Solar, LLC",64271,NC,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-80.819654,36.148986&level=14",-80.819654,36.148986
6,1073 Onslow Solar,63446,NC,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-77.185771,34.773578&level=14",-77.185771,34.773578
7,115 G Fisher,65092,MA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-70.83984,41.877476&level=14",-70.83984,41.877476
8,12 Applegate Solar LLC,59371,NJ,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-74.576111,40.200278&level=14",-74.576111,40.200278
9,126 Grove Solar LLC,60858,MA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-71.422707,42.076119&level=14",-71.422707,42.076119
0,"13 Mile Solar, LLC",64456,MI,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-85.048584,42.326656&level=14",-85.048584,42.326656
1,145 Talmadge Solar,57458,NJ,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-74.391268,40.535787&level=14",-74.391268,40.535787
2,154 D Fisher,65093,MA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-70.83984,41.87476&level=14",-70.83984,41.87476
3,158th Fighter Wing Solar Farm,60542,VT,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-73.153412,44.477705&level=14",-73.153412,44.477705
4,160 Tihonet Rd Hybrid(CSG),65056,MA,IPP Non-CHP,"BA, PV","MWH, SUN",Multiple,,,,Other,"map/?center=-70.712667,41.793414&level=14",-70.712667,41.793414
5,1634 Solar,61935,SC,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-80.081493,34.3368&level=14",-80.081493,34.3368
6,1639 RT 29 Solar 1,65785,NY,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-74.24935,43.04296&level=14",-74.24935,43.04296
7,1639 RT 29 Solar 2,65786,NY,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-74.24935,43.04296&level=14",-74.24935,43.04296
8,180 Raritan Solar,58187,NJ,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-74.34,40.516111&level=14",-74.34,40.516111
9,191 Peachtree Tower,54818,GA,Commercial Non-CHP,IC,DFO,Petroleum Liquids,,,,Petroleum,"map/?center=-84.3869,33.7583&level=14",-84.3869,33.7583
0,196 Tremont St(CSG),65114,MA,IPP Non-CHP,"BA, PV","MWH, SUN",Multiple,,,,Other,"map/?center=-70.730697,41.842933&level=14",-70.730697,41.842933
1,201 Sturbridge B,59822,MA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-72.171188,42.109143&level=14",-72.171188,42.109143
2,"20333 Normandie PV, LLC",65331,CA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-118.30019,33.84614&level=14",-118.30019,33.84614
3,205 Sturbridge A,59821,MA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-72.170507,42.109272&level=14",-72.170507,42.109272
4,"20701 Plummer PV, LLC",65794,CA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-118.58517,34.243444&level=14",-118.58517,34.243444
5,2081 Terzian Solar Project,58918,CA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-119.415833,36.67&level=14",-119.415833,36.67
6,2097 Helton Solar Project,58920,CA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-120.506944,37.352222&level=14",-120.506944,37.352222
7,2127 Harris Solar Project,58919,CA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-121.669722,39.291667&level=14",-121.669722,39.291667
8,"231 Dixon 74 Solar I, LLC",61195,NC,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-81.430385,35.244125&level=14",-81.430385,35.244125
0,"232 Long Branch 29 Solar I, LLC",63296,NC,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-81.559722,35.23222&level=14",-81.559722,35.23222
1,"233 Randolph 74 Solar I, LLC",65819,NC,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-81.590555,35.311944&level=14",-81.590555,35.311944
2,24 Applegate Solar LLC,59365,NJ,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-74.579722,40.205833&level=14",-74.579722,40.205833
3,"25 Ashdown Road Solar, LLC",62998,NY,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-73.879,42.8826&level=14",-73.879,42.8826
4,25 Mile Creek,65511,OK,IPP Non-CHP,WT,WND,Onshore Wind Turbine,,,,Renewable Energy Sources,"map/?center=-99.739,36.487&level=14",-99.739,36.487
5,2555 E Olympic Bl,57871,CA,Commercial Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-118.224167,34.026944&level=14",-118.224167,34.026944
6,"265 Pleasant Solar NG, LLC",59485,MA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-71.762222,42.581389&level=14",-71.762222,42.581389
7,2662 Freeport Solar 1 CSG,64058,IL,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-89.632719,42.339696&level=14",-89.632719,42.339696
8,276 Federal Rd(CSG),64875,MA,IPP Non-CHP,"BA, PV","MWH, SUN",Multiple,,,,Other,"map/?center=-70.725244,41.805144&level=14",-70.725244,41.805144
9,28 Livermore Hill Road Solar,64014,MA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-71.951107,42.55151&level=14",-71.951107,42.55151
0,299 Farm to Market Rd Hybrid(CSG),65057,MA,IPP Non-CHP,"BA, PV","MWH, SUN",Multiple,,,,Other,"map/?center=-70.727036,41.795092&level=14",-70.727036,41.795092
1,2W Permian Solar Project Hybrid,63255,TX,IPP Non-CHP,"BA, PV","MWH, SUN",Multiple,,,,Other,"map/?center=-102.528333,32.116388&level=14",-102.528333,32.116388
2,3 MW LLC,64592,CO,Industrial Non-CHP,IC,OG,Other Gases,,,,Other,"map/?center=-107.5,38.9&level=14",-107.5,38.9
3,301 Chestnut Solar NG,61518,MA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-72.52178,42.055179&level=14",-72.52178,42.055179
4,3104 Batavia Solar,66036,NY,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-78.27517,42.9994&level=14",-78.27517,42.9994
5,315 Vinson Road,63979,NC,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-78.385888,35.629398&level=14",-78.385888,35.629398
6,3232 Batavia Solar,66037,NY,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-78.26818,43.00024&level=14",-78.26818,43.00024
7,"350 Clark Solar, NG, LLC",61224,NJ,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-74.730162,40.894197&level=14",-74.730162,40.894197
8,3Colton,66320,MA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-71.73999,42.20618&level=14",-71.73999,42.20618
9,4 Applegate Solar LLC,59370,NJ,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-74.583611,40.196389&level=14",-74.583611,40.196389
0,401 South,67241,MA,IPP Non-CHP,"BA, PV","MWH, SUN",Multiple,,,,Other,"map/?center=-73.184,42.464&level=14",-73.184,42.464
1,"433 Purchase Solar NG, LLC",61237,MA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-71.192244,41.809353&level=14",-71.192244,41.809353
2,435A Bergen Avenue,63366,NJ,Commercial Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-74.131258,40.751938&level=14",-74.131258,40.751938
3,45 Mile Hydroelectric Project,58455,OR,IPP Non-CHP,HY,WAT,Conventional Hydroelectric,,,,Renewable Energy Sources,"map/?center=-121.152778,44.528056&level=14",-121.152778,44.528056
4,456 Lower,65621,NY,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-74.522,41.311&level=14",-74.522,41.311
5,46 Meadowlands Parkway,62325,NJ,Commercial Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-74.071521,40.78976&level=14",-74.071521,40.78976
6,4710 Hosting,62162,MN,Commercial Non-CHP,IC,DFO,Petroleum Liquids,,,,Petroleum,"map/?center=-92.522265,44.070814&level=14",-92.522265,44.070814
7,491 E 48th Street,7268,MI,Electric Utility,GT,NG,Natural Gas Fired Combustion Turbine,,,,Natural Gas,"map/?center=-86.0853,42.7553&level=14",-86.0853,42.7553
8,4Oaks,59534,NC,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-78.411667,35.4325&level=14",-78.411667,35.4325
9,5 Berry,67242,MA,IPP Non-CHP,"BA, PV","MWH, SUN",Multiple,,,,Other,"map/?center=-71.342,42.021&level=14",-71.342,42.021
0,500 Virginia Solar,57640,PA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-75.191667,40.139167&level=14",-75.191667,40.139167
1,510 Carnegie Center,64194,NJ,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-74.65551,40.3147&level=14",-74.65551,40.3147
2,510 REPP One,57363,NC,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-77.6058,36.4972&level=14",-77.6058,36.4972
3,5601 Westside CDG,65289,NJ,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-74.04182,40.77957&level=14",-74.04182,40.77957
4,580 River Solar,65085,MA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-72.076103,42.680766&level=14",-72.076103,42.680766
5,59 Federal Rd(CSG),64970,MA,IPP Non-CHP,"BA, PV","MWH, SUN",Multiple,,,,Other,"map/?center=-70.721206,41.828475&level=14",-70.721206,41.828475
6,59th Street,2503,NY,Electric Utility,GT,NG,Natural Gas Fired Combustion Turbine,,,,Natural Gas,"map/?center=-73.99115,40.771285&level=14",-73.99115,40.771285
7,601 Doremus CDG,65280,NJ,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-74.120486,40.731966&level=14",-74.120486,40.731966
8,6140 Route 209 - North,64046,NY,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-74.288885,41.787555&level=14",-74.288885,41.787555
9,"631-56 Airport Owner, LLC",59639,MA,Industrial Non-CHP,WT,WND,Onshore Wind Turbine,,,,Renewable Energy Sources,"map/?center=-71.117222,41.745556&level=14",-71.117222,41.745556
0,651 Chase Solar NG,59046,MA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-71.742778,42.626667&level=14",-71.742778,42.626667
1,665 Scenic Highway,67457,MA,IPP Non-CHP,"BA, PV","MWH, SUN",Multiple,,,,Other,"map/?center=-70.571,41.77&level=14",-70.571,41.77
2,6685 Santa Barbara Ct,64343,MD,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-76.743011,39.189589&level=14",-76.743011,39.189589
3,700 Binnewater,67456,NY,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-74.089932,41.849012&level=14",-74.089932,41.849012
4,701 Carnegie Center,64195,NJ,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-74.64994,40.32358&level=14",-74.64994,40.32358
5,71 Charlotte Furnace Rd Hybrid(CSG),65054,MA,IPP Non-CHP,"BA, PV","MWH, SUN",Multiple,,,,Other,"map/?center=-70.741597,41.797106&level=14",-70.741597,41.797106
6,7185 13th Pl. NW,63970,DC,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-77.031405,38.977175&level=14",-77.031405,38.977175
7,7448 Candlewood Road,64502,MD,Commercial Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-76.7,39.16&level=14",-76.7,39.16
8,74th Street,2504,NY,Electric Utility,GT,KER,Petroleum Liquids,,,,Petroleum,"map/?center=-73.9515,40.768&level=14",-73.9515,40.768
9,77 Farm to Market Rd Hybrid(CSG),65055,MA,IPP Non-CHP,"BA, PV","MWH, SUN",Multiple,,,,Other,"map/?center=-70.723394,41.79455&level=14",-70.723394,41.79455
0,77 Metro Way,62326,NJ,Commercial Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-74.072239,40.770516&level=14",-74.072239,40.770516
1,85 A,52162,CA,IPP Non-CHP,WT,WND,Onshore Wind Turbine,,,,Renewable Energy Sources,"map/?center=-118.324772,35.095797&level=14",-118.324772,35.095797
2,85 B,52163,CA,IPP Non-CHP,WT,WND,Onshore Wind Turbine,,,,Renewable Energy Sources,"map/?center=-118.332533,35.102577&level=14",-118.332533,35.102577
3,"8500 Balboa PV, LLC",65330,CA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-118.49974,34.22379&level=14",-118.49974,34.22379
4,9150 Hermosa Solar GM,66622,CA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-117.5872,34.0878&level=14",-117.5872,34.0878
5,98th Street Battery Storage Station,62839,NY,Electric Utility,BA,MWH,Batteries,,,,Other,"map/?center=-73.840187,40.679137&level=14",-73.840187,40.679137
6,99 Islands,3272,SC,Electric Utility,HY,WAT,Conventional Hydroelectric,,,,Renewable Energy Sources,"map/?center=-81.4936,35.0314&level=14",-81.4936,35.0314
7,A B Brown,6137,IN,Electric Utility,GT,NG,Natural Gas Fired Combustion Turbine,,,,Natural Gas,"map/?center=-87.715,37.9053&level=14",-87.715,37.9053
8,A G Wishon,293,CA,Electric Utility,HY,WAT,Conventional Hydroelectric,,,,Renewable Energy Sources,"map/?center=-119.504724,37.15105&level=14",-119.504724,37.15105
9,A L Pierce,6635,CT,Electric Utility,GT,NG,Natural Gas Fired Combustion Turbine,,,,Natural Gas,"map/?center=-72.834884,41.44823&level=14",-72.834884,41.44823
0,A Street 1,64114,RI,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-71.546775,41.797953&level=14",-71.546775,41.797953
1,A Street 2,64111,RI,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-71.545929,41.797544&level=14",-71.545929,41.797544
2,A.J. Mihm Generating Station,61391,MI,Electric Utility,IC,NG,Natural Gas Internal Combustion Engine,,,,Natural Gas,"map/?center=-88.614009,46.792669&level=14",-88.614009,46.792669
3,ABC Coke,56076,AL,Industrial CHP,ST,NG,Natural Gas Steam Turbine,,,,Natural Gas,"map/?center=-86.779866,33.582793&level=14",-86.779866,33.582793
4,ABD Farms,61525,NC,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-79.748273,35.728738&level=14",-79.748273,35.728738
5,ABEC #2 dba West-Star Dairy,61501,CA,IPP Non-CHP,IC,OBG,Other Waste Biomass,,,,Renewable Energy Sources,"map/?center=-119.432866,35.472113&level=14",-119.432866,35.472113
6,ABEC #3 dba Lakeview Dairy,61502,CA,IPP Non-CHP,IC,OBG,Other Waste Biomass,,,,Renewable Energy Sources,"map/?center=-119.202974,35.21426&level=14",-119.202974,35.21426
7,ABEC #4 dba CE&S Dairy,61503,CA,IPP Non-CHP,IC,OBG,Other Waste Biomass,,,,Renewable Energy Sources,"map/?center=-119.116384,35.17306&level=14",-119.116384,35.17306
8,ABEC Bidart-Old River LLC,58699,CA,IPP Non-CHP,IC,OBG,Other Waste Biomass,,,,Renewable Energy Sources,"map/?center=-119.105556,35.169722&level=14",-119.105556,35.169722
9,ABIA Parking Structure,67791,TX,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-97.6686,30.2047&level=14",-97.6686,30.2047
0,"AC Criminal Courts Complex SPE2, LLC",58798,NJ,Commercial Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-74.690556,39.4375&level=14",-74.690556,39.4375
1,AC Power,63260,NJ,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-74.935167,40.049778&level=14",-74.935167,40.049778
2,ACC,67507,AR,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-93.860136,33.926859&level=14",-93.860136,33.926859
3,ACCC Mays Landing,60802,NJ,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-74.68093,39.460566&level=14",-74.68093,39.460566
4,ACCP NJ 1,63198,NJ,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-74.675089,40.92635&level=14",-74.675089,40.92635
5,ACE-Stanton A PV,61247,FL,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-81.17411,28.48455&level=14",-81.17411,28.48455
6,ACE-Stanton PV,61246,FL,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-81.18036,28.47735&level=14",-81.18036,28.47735
7,ACM - Midtown Thermal,63483,NJ,Commercial CHP,GT,NG,Natural Gas Fired Combustion Turbine,,,,Natural Gas,"map/?center=-74.434228,39.359831&level=14",-74.434228,39.359831
8,ACUA,61923,NJ,IPP Non-CHP,BA,MWH,Batteries,,,,Other,"map/?center=-74.445146,39.381969&level=14",-74.445146,39.381969
9,ADA Carbon Solutions Red River,57938,LA,Industrial CHP,ST,WH,All Other,,,,Other,"map/?center=-93.391111,32.003889&level=14",-93.391111,32.003889
0,ADP Parsippany NJ,66796,NJ,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-74.41258,40.857536&level=14",-74.41258,40.857536
1,ADS Renewable Energy-Wolf Creek LLC,60184,GA,IPP Non-CHP,IC,LFG,Landfill Gas,,,,Renewable Energy Sources,"map/?center=-83.4348,32.7755&level=14",-83.4348,32.7755
2,AEP Jacksonville Solar Project,61388,FL,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-81.686443,30.523647&level=14",-81.686443,30.523647
3,AES Alamitos Energy Center,62115,CA,IPP Non-CHP,"CA, CT",NG,Natural Gas Fired Combined Cycle,--,--,--,Natural Gas,"map/?center=-118.100194,33.767229&level=14",-118.100194,33.767229
4,AES Alamitos LLC,315,CA,IPP Non-CHP,ST,NG,Natural Gas Steam Turbine,94464,94464,0,Natural Gas,"map/?center=-118.1009,33.7688&level=14",-118.1009,33.7688
5,AES Belleville Solar LLC,65127,IL,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-90.0135,38.4872&level=14",-90.0135,38.4872
6,"AES Daigle Solar, LLC",66136,ME,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-68.5713,47.2779&level=14",-68.5713,47.2779
7,"AES ES Alamitos, LLC",61204,CA,IPP Non-CHP,BA,MWH,Batteries,,,,Other,"map/?center=-118.099665,33.770202&level=14",-118.099665,33.770202
8,AES ES GILBERT,61861,AZ,IPP Non-CHP,BA,MWH,Batteries,,,,Other,"map/?center=-111.956261,33.446804&level=14",-111.956261,33.446804
9,"AES Griggs Solar, LLC",64328,IL,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-87.666461,41.19128&level=14",-87.666461,41.19128
0,AES Huntington Beach Energy Project,62116,CA,IPP Non-CHP,"CA, CT",NG,Natural Gas Fired Combined Cycle,--,--,--,Natural Gas,"map/?center=-117.979372,33.645618&level=14",-117.979372,33.645618
1,AES Huntington Beach LLC,335,CA,IPP Non-CHP,ST,NG,Natural Gas Steam Turbine,25818,25818,0,Natural Gas,"map/?center=-117.9792,33.6439&level=14",-117.9792,33.6439
2,AES ILUMINA,61036,PR,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-66.158874,17.947524&level=14",-66.158874,17.947524
3,"AES Kekaha Solar, LLC Hybrid",63280,HI,IPP Non-CHP,"BA, PV","MWH, SUN",Multiple,,,,Other,"map/?center=-159.7621,22.0006&level=14",-159.7621,22.0006
4,AES Lawai Solar Hybrid,61068,HI,IPP Non-CHP,"BA, PV","MWH, SUN",Multiple,,,,Other,"map/?center=-159.491974,21.90823&level=14",-159.491974,21.90823
5,"AES Pelletier Solar, LLC",66135,ME,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-68.6183,47.2355&level=14",-68.6183,47.2355
6,AES Petersburg,994,IN,Electric Utility,"IC, ST","BIT, DFO",Multiple,36421,33550,2872,Other,"map/?center=-87.2525,38.5281&level=14",-87.2525,38.5281
7,AES Puerto Rico,61082,PR,IPP Non-CHP,ST,BIT,Conventional Steam Coal,,,,Coal,"map/?center=-66.149897,17.947115&level=14",-66.149897,17.947115
8,AES Redondo Beach LLC,356,CA,IPP Non-CHP,--,--,--,12544,12544,0,Other,"map/?center=-118.395,33.8504&level=14",-118.395,33.8504
9,AES Tonawanda Solar LLC,63161,NY,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-78.9017,42.9971&level=14",-78.9017,42.9971
0,AES Waikoloa Solar Hybrid,63900,HI,IPP Non-CHP,"BA, PV","MWH, SUN",Multiple,,,,Other,"map/?center=-155.764,19.902&level=14",-155.764,19.902
1,AES Warrior Run Cogeneration Facility,10678,MD,IPP CHP,ST,BIT,Conventional Steam Coal,336,37,305,Coal,"map/?center=-78.745333,39.595171&level=14",-78.745333,39.595171
2,AES Warrior Run Energy Storage Project,59949,MD,IPP Non-CHP,BA,MWH,Batteries,,,,Other,"map/?center=-78.745333,39.593075&level=14",-78.745333,39.593075
3,AFA Solar Farm,57554,CO,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-104.806627,38.957901&level=14",-104.806627,38.957901
4,AGA TAG Solar III LLC,63243,SC,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-82.0421,34.99647&level=14",-82.0421,34.99647
5,AGA TAG Solar IV LLC,63225,NC,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-78.06444,34.27355&level=14",-78.06444,34.27355
6,AGT000 Stevens Creek Fuel Cell,63699,CA,IPP Non-CHP,FC,NG,Other Natural Gas,,,,Natural Gas,"map/?center=-121.99894,37.32489&level=14",-121.99894,37.32489
7,AGT001 Centerville Fuel Cell,63700,DE,IPP Non-CHP,FC,NG,Other Natural Gas,,,,Natural Gas,"map/?center=-75.62208,39.75787&level=14",-75.62208,39.75787
8,AIS Solar Project,60986,MA,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-71.737786,42.501949&level=14",-71.737786,42.501949
9,"AJMS, LLC",66406,ID,IPP Non-CHP,HY,WAT,Conventional Hydroelectric,,,,Renewable Energy Sources,"map/?center=-114.517194,42.962333&level=14",-114.517194,42.962333
0,AL Sandersville LLC,55672,GA,IPP Non-CHP,GT,NG,Natural Gas Fired Combustion Turbine,,,,Natural Gas,"map/?center=-82.8608,33.1189&level=14",-82.8608,33.1189
