,plant_name,Plant Code,State,Sector Name,Prime Movers,Fuel Types,Primary Technology,withdrawal_volume_million_gallons,discharge_volume_million_gallons,consumption_volume_million_gallons,energy_category,map_link,longitude,latitude
9,Prevailing Wind Park,62247,SD,IPP Non-CHP,WT,WND,Onshore Wind Turbine,,,,Renewable Energy Sources,"map/?center=-97.526,43.039&level=14",-97.526,43.039
0,Prickett,1773,MI,Electric Utility,HY,WAT,Conventional Hydroelectric,,,,Renewable Energy Sources,"map/?center=-88.6625,46.7261&level=14",-88.6625,46.7261
1,Priddy Wind Project,64165,TX,IPP Non-CHP,WT,WND,Onshore Wind Turbine,,,,Renewable Energy Sources,"map/?center=-98.49491,31.5481&level=14",-98.49491,31.5481
2,Priest Rapids,3887,WA,Electric Utility,HY,WAT,Conventional Hydroelectric,,,,Renewable Energy Sources,"map/?center=-119.908,46.6451&level=14",-119.908,46.6451
3,Primient,64854,IN,Industrial CHP,GT,NG,Natural Gas Fired Combustion Turbine,,,,Natural Gas,"map/?center=-86.843695,40.376319&level=14",-86.843695,40.376319
4,Primient Decatur Plant Cogen,10867,IL,Industrial CHP,ST,NG,Natural Gas Steam Turbine,,,,Natural Gas,"map/?center=-88.931944,39.84919&level=14",-88.931944,39.84919
5,Primient Loudon Plant,63632,TN,Industrial CHP,GT,NG,Natural Gas Fired Combustion Turbine,,,,Natural Gas,"map/?center=-84.319301,35.735092&level=14",-84.319301,35.735092
6,"Primrose Solar, LLC",63314,MN,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-93.9792,44.205398&level=14",-93.9792,44.205398
7,Princeton,59533,NC,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-78.192222,35.504444&level=14",-78.192222,35.504444
8,Princeton (IL),957,IL,Electric Utility,IC,NG,Natural Gas Internal Combustion Engine,,,,Natural Gas,"map/?center=-89.464872,41.375528&level=14",-89.464872,41.375528
9,Princeton (MN),2005,MN,Electric Utility,IC,DFO,Petroleum Liquids,,,,Petroleum,"map/?center=-93.587244,45.569468&level=14",-93.587244,45.569468
0,"Princeton Energy Center, LLC",61822,NJ,Commercial CHP,"GT, IC, PV","DFO, NG, SUN",Multiple,,,,Other,"map/?center=-74.62393,40.339838&level=14",-74.62393,40.339838
1,Princeton Solar Project,61354,NJ,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-74.625694,40.379736&level=14",-74.625694,40.379736
2,Princeton University Cogeneration,58584,NJ,Commercial CHP,"GT, PV","NG, SUN",Multiple,,,,Other,"map/?center=-74.657222,40.341389&level=14",-74.657222,40.341389
3,Princeton Wind Farm,7501,MA,Electric Utility,WT,WND,Onshore Wind Turbine,,,,Renewable Energy Sources,"map/?center=-71.9,42.4789&level=14",-71.9,42.4789
4,Prineville Solar Energy LLC,63049,OR,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-120.524077,44.163296&level=14",-120.524077,44.163296
5,Procter & Gamble Cincinnati Plant,50456,OH,Industrial CHP,ST,NG,Natural Gas Steam Turbine,,,,Natural Gas,"map/?center=-84.5042,39.175&level=14",-84.5042,39.175
6,Procter & Gamble Mehoopany Mill,50463,PA,Industrial CHP,"GT, ST",NG,Multiple,,,,Other,"map/?center=-76.043233,41.574259&level=14",-76.043233,41.574259
7,Proctor,6450,VT,Electric Utility,HY,WAT,Conventional Hydroelectric,,,,Renewable Energy Sources,"map/?center=-73.034023,43.662775&level=14",-73.034023,43.662775
8,Progress Drive Generation Station,63457,OH,Electric Utility,IC,DFO,Petroleum Liquids,,,,Petroleum,"map/?center=-82.4,40.53&level=14",-82.4,40.53
9,Progress Manis I,58529,NC,IPP Non-CHP,PV,SUN,Solar Photovoltaic,,,,Renewable Energy Sources,"map/?center=-79.447222,34.756389&level=14",-79.447222,34.756389
