POP100,GEOID,CENTLAT,AREAWATER,STATE,BASENAME,OID,LSADC,FUNCSTAT,INTPTLAT,NAME,OBJECTID,TRACT,CENTLON,HU100,AREALAND,INTPTLON,MTFCC,UR,COUNTY
2630,04015954801,+35.0793134,1134987,04,9548.01,2079015482149054,CT,S,+35.0960434,Census Tract 9548.01,578,954801,-113.5860291,1735,4145817350,-113.5758812,G5020,R,015
1970,20077961600,+37.2768601,834583,20,9616,20790401632687,CT,S,+37.2787804,Census Tract 9616,68165,961600,-097.9330166,1054,576472272,-097.9333419,G5020,R,077
1917,20151968600,+37.6481650,1147104,20,9686,20790110702203,CT,S,+37.7376174,Census Tract 9686,84634,968600,-098.7392841,985,1832748020,-098.5988030,G5020,R,151
3387,13039010500,+30.8020999,16098182,13,105,20790409606692,CT,S,+30.8023621,Census Tract 105,3268,010500,-081.5288387,638,60820970,-081.5278537,G5020,M,039
3315,06061020107,+39.2496931,301151,06,201.07,20790681492689,CT,S,+39.2475277,Census Tract 201.07,24492,020107,-120.0141878,1957,7179606,-120.0199033,G5020,M,061
4100,36049950302,+43.8641794,1383242,36,9503.02,2079015681773998,CT,S,+43.8640143,Census Tract 9503.02,12341,950302,-075.6589549,1866,320958426,-075.6558397,G5020,R,049
3081,37045950603,+35.1908774,534043,37,9506.03,2079015503698188,CT,S,+35.1943597,Census Tract 9506.03,31533,950603,-081.3785123,1329,50800283,-081.3766656,G5020,M,045
6321,36103134702,+40.8794412,0,36,1347.02,20790498691666,CT,S,+40.8794412,Census Tract 1347.02,60902,134702,-073.2645610,2570,6572482,-073.2645610,G5020,U,103
6321,36103134702,+40.8794412,0,36,1347.02,20790498691666,CT,S,+40.8794412,Census Tract 1347.02,60902,134702,-073.2645610,2570,6572482,-073.2645610,G5020,U,103
1417,36047069800,+40.6124441,120721,36,698,20790298102879,CT,S,+40.6112503,Census Tract 698,42372,069800,-073.9158912,516,500249,-073.9170851,G5020,U,047
3916,29109470100,+37.2301273,1518196,29,4701,20790294329203,CT,S,+37.2359001,Census Tract 4701,48766,470100,-093.8327146,1734,487520222,-093.8239900,G5020,R,109
2703,06019006407,+36.8922577,12069756,06,64.07,2079015504479205,CT,S,+36.9045724,Census Tract 64.07,48745,006407,-119.3761700,1266,508592382,-119.3764340,G5020,R,019
2135,06019005906,+36.7700893,0,06,59.06,207903717087303,CT,S,+36.7700893,Census Tract 59.06,83000,005906,-119.5155900,822,71011154,-119.5155900,G5020,R,019
4278,48453002110,+30.2740922,0,48,21.10,20790378104560,CT,S,+30.2740922,Census Tract 21.10,39587,002110,-097.6772217,1682,3614496,-097.6772217,G5020,U,453
2730,36047087800,+40.6588465,0,36,878,20790298092023,CT,S,+40.6588465,Census Tract 878,47479,087800,-073.9310338,1041,151414,-073.9310338,G5020,U,047
6042,06019007004,+36.5770545,0,06,70.04,20790148949859,CT,S,+36.5770545,Census Tract 70.04,15274,007004,-119.5900856,1933,18461439,-119.5900856,G5020,M,019
3662,06107000303,+36.5274983,910635,06,3.03,2079015748636156,CT,S,+36.5302410,Census Tract 3.03,12925,000303,-119.4779415,1271,77635198,-119.4734244,G5020,M,107
4369,26043950600,+45.7971485,1394388,26,9506,20790177017590,CT,S,+45.7981828,Census Tract 9506,84509,950600,-088.0731445,2110,14751330,-088.0742917,G5020,M,043
3410,31101000300,+41.2003773,123197553,31,3,20790100102913,CT,S,+41.1942448,Census Tract 3,15933,000300,-101.6592933,2855,2679541079,-101.6444493,G5020,M,101
4087,47145030700,+35.9215442,4066795,47,307,20790175889493,CT,S,+35.9212242,Census Tract 307,12064,030700,-084.5520674,1913,54674996,-084.5529629,G5020,M,145
2478,17121951700,+38.7440397,374753,17,9517,20790356626420,CT,S,+38.7466425,Census Tract 9517,29968,951700,-089.0198154,1146,400804283,-089.0191115,G5020,R,121
3566,09009130201,+41.3658234,497091,09,1302.01,2079015514133507,CT,S,+41.3631111,Census Tract 1302.01,31156,130201,-073.1149292,1354,13489819,-073.1139882,G5020,M,009
5513,34015501103,+39.8096027,147502,34,5011.03,20790414207199,CT,S,+39.8093035,Census Tract 5011.03,40139,501103,-075.0954938,1990,10411795,-075.0948020,G5020,U,015
5513,34015501103,+39.8096027,147502,34,5011.03,20790414207199,CT,S,+39.8093035,Census Tract 5011.03,40139,501103,-075.0954938,1990,10411795,-075.0948020,G5020,U,015
3080,37107010900,+35.3424464,25968,37,109,20790155942703,CT,S,+35.3514224,Census Tract 109,23770,010900,-077.5932243,1408,79446497,-077.6123942,G5020,M,107
2912,37107011302,+35.2080018,729853,37,113.02,2079015503566139,CT,S,+35.2117553,Census Tract 113.02,4768,011302,-077.6662336,1339,59806861,-077.6628175,G5020,R,107
4520,37107010100,+35.3506209,780263,37,101,20790155942676,CT,S,+35.3572404,Census Tract 101,23769,010100,-077.4966828,2113,118195410,-077.4994816,G5020,M,107
4253,24033801210,+38.7684043,54112,24,8012.10,207903711045635,CT,S,+38.7684717,Census Tract 8012.10,54509,801210,-076.9218422,1538,5310881,-076.9235417,G5020,U,033
2562,37061090301,+34.9838417,161958,37,903.01,2079015501858354,CT,S,+34.9859289,Census Tract 903.01,9491,090301,-078.1115714,1366,65689941,-078.1110196,G5020,R,061
5216,19113003003,+41.9236839,364438,19,30.03,2079015482473483,CT,S,+41.9224375,Census Tract 30.03,9053,003003,-091.6139842,2337,25018360,-091.6084745,G5020,M,113
6912,17007010400,+42.2042628,751268,17,104,20790605976794,CT,S,+42.2035845,Census Tract 104,54482,010400,-088.8223555,2514,216840947,-088.8275388,G5020,M,007
1780,17201002100,+42.2366858,279369,17,21,20790675332246,CT,S,+42.2332009,Census Tract 21,58774,002100,-089.0950104,692,4240130,-089.0954959,G5020,U,201
3057,35055952102,+36.7994384,1790656,35,9521.02,2079015503674233,CT,S,+36.7803467,Census Tract 9521.02,11837,952102,-105.4236769,2870,1298048310,-105.4750468,G5020,R,055
4478,08063962100,+39.3087281,889659,08,9621,20790349143845,CT,S,+39.3072974,Census Tract 9621,63831,962100,-102.2380032,2068,1909599565,-102.2113119,G5020,R,063
4691,02188000100,+67.0149166,10945757461,02,1,2079051359168,CT,S,+67.0050655,Census Tract 1,49984,000100,-159.9824860,1696,91704810453,-160.0210864,G5020,R,188
2478,41035970902,+42.1830422,1294404,41,9709.02,2079015621980958,CT,S,+42.1813382,Census Tract 9709.02,18089,970902,-121.8410213,1114,33670117,-121.8427128,G5020,M,035
2478,41035970902,+42.1830422,1294404,41,9709.02,2079015621980958,CT,S,+42.1813382,Census Tract 9709.02,18089,970902,-121.8410213,1114,33670117,-121.8427128,G5020,M,035
4309,41035971500,+42.1865532,691584,41,9715,20790528649181,CT,S,+42.1874249,Census Tract 9715,62496,971500,-121.7641785,1862,16870967,-121.7643940,G5020,M,035
2051,02198000200,+55.5074937,81823451,02,2,2079051388109,CT,S,+55.3969895,Census Tract 2,183,000200,-133.0147589,1044,338370512,-132.9435505,G5020,R,198
3266,26031960700,+45.4011004,4093572,26,9607,2079052644824,CT,S,+45.3972511,Census Tract 9607,50778,960700,-084.4063079,1937,351845832,-084.3862772,G5020,R,031
6455,09007680200,+41.5278217,2403946,09,6802,207903716548633,CT,S,+41.5220924,Census Tract 6802,76440,680200,-072.6082731,2547,46775743,-072.6048218,G5020,M,007
1870,41055950100,+45.4048342,19617472,41,9501,20790447594106,CT,S,+45.3992158,Census Tract 9501,30897,950100,-120.6894715,918,2133151635,-120.6785124,G5020,R,055
1870,41055950100,+45.4048342,19617472,41,9501,20790447594106,CT,S,+45.3992158,Census Tract 9501,30897,950100,-120.6894715,918,2133151635,-120.6785124,G5020,R,055
1870,41055950100,+45.4048342,19617472,41,9501,20790447594106,CT,S,+45.3992158,Census Tract 9501,30897,950100,-120.6894715,918,2133151635,-120.6785124,G5020,R,055
3825,36001014606,+42.7416363,64643,36,146.06,20790735749590,CT,S,+42.7469088,Census Tract 146.06,76066,014606,-073.9723862,1566,17693338,-073.9773720,G5020,M,001
