POP100,GEOID,CENTLAT,AREAWATER,STATE,BASENAME,OID,LSADC,FUNCSTAT,INTPTLAT,NAME,OBJECTID,TRACT,CENTLON,HU100,AREALAND,INTPTLON,MTFCC,UR,COUNTY,error,lat,lng
3270.0,19061010300,+42.3564925,0.0,19,103,20790350810828,CT,S,+42.3564925,Census Tract 103,77217.0,010300,-090.8552057,1295.0,374086282.0,-090.8552057,G5020,R,061,,,
5181.0,27109001301,+44.0319916,0.0,27,13.01,20790414924180,CT,S,+44.0319916,Census Tract 13.01,62055.0,001301,-092.5143488,2293.0,5286423.0,-092.5143488,G5020,M,109,,,
2870.0,16085970100,+44.7179152,125089740.0,16,9701,20790364027538,CT,S,+44.7163104,Census Tract 9701,37169.0,970100,-115.4692579,3922.0,7353175289.0,-115.4687788,G5020,R,085,,,
5285.0,26081012203,+42.8794213,1098541.0,26,122.03,20790188515028,CT,S,+42.8769951,Census Tract 122.03,76101.0,012203,-085.5013577,2189.0,43011776.0,-085.5220893,G5020,M,081,,,
3813.0,06071010420,+34.1711569,0.0,06,104.20,207903716836477,CT,S,+34.1711569,Census Tract 104.20,48721.0,010420,-116.2970601,2243.0,97382252.0,-116.2970601,G5020,M,071,,,
3767.0,48481740600,+29.2354094,5042053.0,48,7406,20790383086194,CT,S,+29.2399484,Census Tract 7406,83109.0,740600,-095.9830673,1564.0,345204321.0,-095.9857309,G5020,R,481,,,
2259.0,34023000603,+40.5496751,43267.0,34,6.03,20790423992061,CT,S,+40.5474560,Census Tract 6.03,58299.0,000603,-074.4585320,766.0,10652202.0,-074.4505026,G5020,U,023,,,
4972.0,41047010303,+45.1308324,144538.0,41,103.03,20790446456624,CT,S,+45.1249943,Census Tract 103.03,22346.0,010303,-122.9007373,1398.0,98381631.0,-122.9025747,G5020,M,047,,,
6673.0,06107004200,+35.9628726,60668.0,06,42,20790673085095,CT,S,+35.9592155,Census Tract 42,11541.0,004200,-119.2907175,1812.0,396115046.0,-119.2913087,G5020,R,107,,,
4850.0,17023060300,+39.3098810,689815.0,17,603,20790176833941,CT,S,+39.3132886,Census Tract 603,21725.0,060300,-087.9241424,2362.0,146246108.0,-087.9201342,G5020,R,023,,,
6027.0,37127010802,+36.0383056,93669.0,37,108.02,2079015501915602,CT,S,+36.0461139,Census Tract 108.02,356.0,010802,-077.9013173,2451.0,95741622.0,-077.8901787,G5020,M,127,,,
5776.0,55081950900,+43.8168137,27811.0,55,9509,20790454002940,CT,S,+43.8196900,Census Tract 9509,82726.0,950900,-090.7983969,2268.0,389691977.0,-090.8010232,G5020,M,081,,,
