POP100,GEOID,CENTLAT,AREAWATER,STATE,BASENAME,OID,LSADC,FUNCSTAT,INTPTLAT,NAME,OBJECTID,TRACT,CENTLON,HU100,AREALAND,INTPTLON,MTFCC,UR,COUNTY,error,lat,lng
1814.0,13095011600,+31.5073659,472124.0,13,116,207903716947438,CT,S,+31.4939655,Census Tract 116,42987.0,011600,-084.0413209,754.0,101133666.0,-084.0151627,G5020,M,095,,,
6315.0,25027700100,+42.6589780,6768398.0,25,7001,20790515417443,CT,S,+42.6730523,Census Tract 7001,40981.0,700100,-071.9252124,2730.0,99284822.0,-071.9203351,G5020,R,027,,,
0.0,04013980500,+33.2439248,0.0,04,9805,207903717435918,CT,S,+33.2439248,Census Tract 9805,21114.0,980500,-111.8863309,1.0,3584288.0,-111.8863309,G5020,U,013,,,
5367.0,06067008504,+38.6514298,515287.0,06,85.04,20790753123163,CT,S,+38.6530361,Census Tract 85.04,75947.0,008504,-121.1806587,2221.0,5885717.0,-121.1797987,G5020,M,067,,,
5367.0,06067008504,+38.6514298,515287.0,06,85.04,20790753123163,CT,S,+38.6530361,Census Tract 85.04,75947.0,008504,-121.1806587,2221.0,5885717.0,-121.1797987,G5020,M,067,,,
5367.0,06067008504,+38.6514298,515287.0,06,85.04,20790753123163,CT,S,+38.6530361,Census Tract 85.04,75947.0,008504,-121.1806587,2221.0,5885717.0,-121.1797987,G5020,M,067,,,
4315.0,06085505010,+37.3997725,0.0,06,5050.10,2079015678643189,CT,S,+37.3997725,Census Tract 5050.10,29413.0,505010,-121.9732045,1407.0,7795129.0,-121.9732045,G5020,U,085,,,
1464.0,12097040801,+28.2727525,959.0,12,408.01,207903717313693,CT,S,+28.2671045,Census Tract 408.01,63580.0,040801,-081.5734241,1814.0,18476368.0,-081.5694992,G5020,M,097,,,
2223.0,26049010503,+43.1057817,89744.0,26,105.03,2079059452711,CT,S,+43.1058149,Census Tract 105.03,18823.0,010503,-083.7882370,895.0,25320188.0,-083.7871143,G5020,R,049,,,
3493.0,36047027100,+40.6787956,0.0,36,271,207903716508866,CT,S,+40.6787956,Census Tract 271,22826.0,027100,-073.9369686,1541.0,245353.0,-073.9369686,G5020,U,047,,,
5040.0,49027974100,+39.3920619,8816332.0,49,9741,20790476650921,CT,S,+39.3921901,Census Tract 9741,81751.0,974100,-112.3658268,1803.0,1227915842.0,-112.3541362,G5020,R,027,,,
4928.0,02020002501,+61.1593799,0.0,02,25.01,2079045413520,CT,S,+61.1593799,Census Tract 25.01,47214.0,002501,-149.8999659,2008.0,4577741.0,-149.8999659,G5020,U,020,,,
2798.0,27071790202,+48.6004102,1051143.0,27,7902.02,2079015487954535,CT,S,+48.5988647,Census Tract 7902.02,21931.0,790202,-093.3832180,1583.0,7496583.0,-093.3882087,G5020,M,071,,,
1794.0,48361021100,+30.2109865,3575568.0,48,211,20790359986584,CT,S,+30.2085132,Census Tract 211,33696.0,021100,-093.7384717,770.0,34603806.0,-093.7433967,G5020,M,361,,,
3642.0,37049960201,+35.2804167,3217377.0,37,9602.01,2079015496792539,CT,S,+35.2809736,Census Tract 9602.01,6285.0,960201,-077.1988819,1608.0,161502610.0,-077.2045861,G5020,R,049,,,
3912.0,51093280400,+36.7509162,2971770.0,51,2804,20790243682243,CT,S,+36.7509492,Census Tract 2804,66195.0,280400,-076.8424895,1799.0,185633791.0,-076.8463157,G5020,M,093,,,
2067.0,45043920602,+33.3879141,1325768.0,45,9206.02,2079015495385543,CT,S,+33.3886197,Census Tract 9206.02,50715.0,920602,-079.3441328,913.0,33383378.0,-079.3440565,G5020,M,043,,,
