POP100,GEOID,CENTLAT,AREAWATER,STATE,BASENAME,OID,LSADC,FUNCSTAT,INTPTLAT,NAME,OBJECTID,TRACT,CENTLON,HU100,AREALAND,INTPTLON,MTFCC,UR,COUNTY
2870,37127010700,+36.0785482,475395,37,107,20790504902655,CT,S,+36.0824501,Census Tract 107,33798,010700,-077.7758469,1392,117546336,-077.7714139,G5020,M,127
4117,37073970100,+36.4245778,2369937,37,9701,20790695040224,CT,S,+36.4300832,Census Tract 9701,26616,970100,-076.5976743,1945,426049896,-076.6002026,G5020,R,073
3227,27141030302,+45.4462873,11269922,27,303.02,2079015482047238,CT,S,+45.4465337,Census Tract 303.02,4538,030302,-094.0036208,1330,114800349,-094.0041793,G5020,R,141
4858,06065941500,+33.7765944,822794,06,9415,207903717222306,CT,S,+33.7740700,Census Tract 9415,10583,941500,-116.8765745,1487,40126369,-116.8807172,G5020,M,065
4099,24025302400,+39.4673144,3710075,24,3024,20790157163968,CT,S,+39.4646785,Census Tract 3024,30228,302400,-076.2122784,1801,21567027,-076.2158650,G5020,M,025
4124,16029960100,+42.7065819,13415312,16,9601,20790496295057,CT,S,+42.6943684,Census Tract 9601,55421,960100,-111.8640312,1729,1645447782,-111.8511424,G5020,R,029
5736,32001950600,+39.7811064,14960975,32,9506,20790489243865,CT,S,+39.7934997,Census Tract 9506,33338,950600,-118.9617336,2201,1813277006,-118.9516281,G5020,M,001
3103,41019100000,+43.3029767,16731802,41,1000,20790710972859,CT,S,+43.3251132,Census Tract 1000,45398,100000,-122.5599707,1484,2972506997,-122.5428476,G5020,R,019
2580,36049950101,+43.9703254,4173393,36,9501.01,2079015681774028,CT,S,+43.9614958,Census Tract 9501.01,12342,950101,-075.3136025,1438,336339670,-075.3021582,G5020,R,049
4476,06025011400,+32.7928464,21575,06,114,207901284157376,CT,S,+32.7938734,Census Tract 114,55286,011400,-115.5442190,1305,3966374,-115.5453184,G5020,M,025
3781,24033801908,+38.8444502,1853,24,8019.08,207903711045643,CT,S,+38.8436057,Census Tract 8019.08,54453,801908,-076.9437438,1678,1590366,-076.9437961,G5020,U,033
3230,48043950500,+29.8101510,22052424,48,9505,207903716808329,CT,S,+29.8089965,Census Tract 9505,48313,950500,-103.2511542,2674,15994865315,-103.2524579,G5020,M,043
2486,04013723305,+32.9326633,210596,04,7233.05,207903717435294,CT,S,+32.9198542,Census Tract 7233.05,75301,723305,-113.0269429,871,1318859167,-113.1159749,G5020,R,013
1896,06095252502,+38.2471153,0,06,2525.02,20790692865211,CT,S,+38.2471153,Census Tract 2525.02,40100,252502,-122.0446962,705,921982,-122.0446962,G5020,U,095
4637,06095253502,+38.1314595,11633503,06,2535.02,2079015495961579,CT,S,+38.1311499,Census Tract 2535.02,247,253502,-121.8042615,1936,209950826,-121.8217361,G5020,M,095
7532,13067030602,+33.9640540,31474,13,306.02,207903717605646,CT,S,+33.9692865,Census Tract 306.02,55188,030602,-084.5758766,3345,15965370,-084.5708590,G5020,U,067
4283,06031001601,+36.0088124,2105941,06,16.01,20790680083096,CT,S,+36.0137600,Census Tract 16.01,3608,001601,-119.7790167,1271,1699007789,-119.7891118,G5020,M,031
1725,06065046900,+33.7789253,266083,06,469,207903717223675,CT,S,+33.7785595,Census Tract 469,37381,046900,-115.3630800,935,9863523858,-115.3687419,G5020,R,065
1725,06065046900,+33.7789253,266083,06,469,207903717223675,CT,S,+33.7785595,Census Tract 469,37381,046900,-115.3630800,935,9863523858,-115.3687419,G5020,R,065
1946,06073021002,+33.3116284,39623,06,210.02,2079015682043334,CT,S,+33.3725318,Census Tract 210.02,20801,021002,-116.2985598,1489,1123501273,-116.3550545,G5020,R,073
3499,06025010101,+33.1907912,954069,06,101.01,207903717080838,CT,S,+33.1874151,Census Tract 101.01,53719,010101,-115.4689709,161,379172003,-115.4628640,G5020,R,025
3470,13127000403,+31.2356972,19983204,13,4.03,207903717391695,CT,S,+31.2531748,Census Tract 4.03,78333,000403,-081.4265320,1578,68149807,-081.4240083,G5020,M,127
3775,24043011204,+39.6359120,0,24,112.04,2079015503566280,CT,S,+39.6359120,Census Tract 112.04,72751,011204,-077.6792365,1643,8730511,-077.6792365,G5020,M,043
4778,32003006800,+36.0849785,0,32,68,207903716483254,CT,S,+36.0849785,Census Tract 68,50021,006800,-115.1538888,2011,15451024,-115.1538888,G5020,U,003
4778,32003006800,+36.0849785,0,32,68,207903716483254,CT,S,+36.0849785,Census Tract 68,50021,006800,-115.1538888,2011,15451024,-115.1538888,G5020,U,003
2382,37191000800,+35.1964790,0,37,8,20790307789776,CT,S,+35.1964790,Census Tract 8,27736,000800,-078.1064422,952,23381661,-078.1064422,G5020,R,191
1805,23011025002,+44.5379391,761369,23,250.02,2079015488731103,CT,S,+44.5370599,Census Tract 250.02,40367,025002,-069.7089271,838,17074582,-069.7108911,G5020,M,011
0,06037980004,+34.6324372,83850,06,9800.04,207903717303611,CT,S,+34.6384747,Census Tract 9800.04,27340,980004,-118.0907526,0,35787632,-118.0723227,G5020,M,037
3378,12001001902,+29.6913906,127988,12,19.02,20790267577928,CT,S,+29.6923515,Census Tract 19.02,19540,001902,-082.2860453,1334,19712002,-082.2859688,G5020,M,001
5414,06071000504,+33.9996718,0,06,5.04,207903716835630,CT,S,+33.9996718,Census Tract 5.04,48630,000504,-117.6947907,1573,10850946,-117.6947907,G5020,U,071
4824,06071003510,+34.0995052,0,06,35.10,207903716835878,CT,S,+34.0995052,Census Tract 35.10,65387,003510,-117.3921990,1296,2587037,-117.3921990,G5020,U,071
6632,06071007800,+34.0734034,0,06,78,207901321972905,CT,S,+34.0734034,Census Tract 78,28763,007800,-117.2191806,3250,17919119,-117.2191806,G5020,M,071
4000,06071012700,+34.0490495,0,06,127,207903716836867,CT,S,+34.0490495,Census Tract 127,47955,012700,-117.5557698,1399,26807884,-117.5557698,G5020,U,071
6632,06071007800,+34.0734034,0,06,78,207901321972905,CT,S,+34.0734034,Census Tract 78,28763,007800,-117.2191806,3250,17919119,-117.2191806,G5020,M,071
4000,06071012700,+34.0490495,0,06,127,207903716836867,CT,S,+34.0490495,Census Tract 127,47955,012700,-117.5557698,1399,26807884,-117.5557698,G5020,U,071
4000,06071012700,+34.0490495,0,06,127,207903716836867,CT,S,+34.0490495,Census Tract 127,47955,012700,-117.5557698,1399,26807884,-117.5557698,G5020,U,071
6141,06071002204,+34.0735978,0,06,22.04,207901321972924,CT,S,+34.0735978,Census Tract 22.04,28716,002204,-117.5077958,1502,19290381,-117.5077958,G5020,U,071
6632,06071007800,+34.0734034,0,06,78,207901321972905,CT,S,+34.0734034,Census Tract 78,28763,007800,-117.2191806,3250,17919119,-117.2191806,G5020,M,071
6632,06071007800,+34.0734034,0,06,78,207901321972905,CT,S,+34.0734034,Census Tract 78,28763,007800,-117.2191806,3250,17919119,-117.2191806,G5020,M,071
6141,06071002204,+34.0735978,0,06,22.04,207901321972924,CT,S,+34.0735978,Census Tract 22.04,28716,002204,-117.5077958,1502,19290381,-117.5077958,G5020,U,071
6632,06071007800,+34.0734034,0,06,78,207901321972905,CT,S,+34.0734034,Census Tract 78,28763,007800,-117.2191806,3250,17919119,-117.2191806,G5020,M,071
6141,06071002204,+34.0735978,0,06,22.04,207901321972924,CT,S,+34.0735978,Census Tract 22.04,28716,002204,-117.5077958,1502,19290381,-117.5077958,G5020,U,071
6141,06071002204,+34.0735978,0,06,22.04,207901321972924,CT,S,+34.0735978,Census Tract 22.04,28716,002204,-117.5077958,1502,19290381,-117.5077958,G5020,U,071
6632,06071007800,+34.0734034,0,06,78,207901321972905,CT,S,+34.0734034,Census Tract 78,28763,007800,-117.2191806,3250,17919119,-117.2191806,G5020,M,071
6141,06071002204,+34.0735978,0,06,22.04,207901321972924,CT,S,+34.0735978,Census Tract 22.04,28716,002204,-117.5077958,1502,19290381,-117.5077958,G5020,U,071
3696,06071002306,+34.1281840,0,06,23.06,207903716835857,CT,S,+34.1281840,Census Tract 23.06,65465,002306,-117.4156002,998,5070969,-117.4156002,G5020,U,071
