POP100,GEOID,CENTLAT,AREAWATER,STATE,BASENAME,OID,LSADC,FUNCSTAT,INTPTLAT,NAME,OBJECTID,TRACT,CENTLON,HU100,AREALAND,INTPTLON,MTFCC,UR,COUNTY,error,lat,lng
3212.0,46099010403,+43.5768425,435366.0,46,104.03,207903710926908,CT,S,+43.5760973,Census Tract 104.03,77494.0,010403,-096.6248878,1087.0,32601460.0,-096.6275860,G5020,M,099,,,
6084.0,06095252305,+38.2186121,2016548.0,06,2523.05,20790692865193,CT,S,+38.2198735,Census Tract 2523.05,40166.0,252305,-122.0995554,2222.0,45856555.0,-122.0935747,G5020,M,095,,,
6084.0,06095252305,+38.2186121,2016548.0,06,2523.05,20790692865193,CT,S,+38.2198735,Census Tract 2523.05,40166.0,252305,-122.0995554,2222.0,45856555.0,-122.0935747,G5020,M,095,,,
4003.0,36067011900,+43.1182173,1182154.0,36,119,207901392451079,CT,S,+43.1157619,Census Tract 119,53811.0,011900,-076.3666007,1572.0,78313721.0,-076.3672883,G5020,M,067,,,
2562.0,12031010307,+30.4458513,330091.0,12,103.07,2079015481983933,CT,S,+30.4490186,Census Tract 103.07,2102.0,010307,-081.6494914,1023.0,5477154.0,-081.6448968,G5020,U,031,,,
1712.0,29510124600,+38.5887453,578571.0,29,1246,20790325466627,CT,S,+38.5890298,Census Tract 1246,47267.0,124600,-090.2140976,899.0,2152098.0,-090.2141395,G5020,U,510,,,
3228.0,12019031500,+29.9054126,26933831.0,12,315,2079050422918,CT,S,+29.9007520,Census Tract 315,46378.0,031500,-081.6891210,1390.0,245008584.0,-081.6896421,G5020,M,019,,,
1456.0,02050000300,+61.4895876,622683516.0,02,3,2079045104395,CT,S,+61.4688040,Census Tract 3,83903.0,000300,-156.8169878,755.0,49367571113.0,-156.6922064,G5020,R,050,,,
2433.0,19029190100,+41.4308573,1116939.0,19,1901,20790340049763,CT,S,+41.4324677,Census Tract 1901,76465.0,190100,-094.8963368,1143.0,573661958.0,-094.9039344,G5020,M,029,,,
3367.0,27171100402,+45.2829441,12537790.0,27,1004.02,2079015489264870,CT,S,+45.2864873,Census Tract 1004.02,27678.0,100402,-094.1149829,1850.0,20575977.0,-094.1159223,G5020,R,171,,,
5392.0,24003751600,+38.9945801,908201.0,24,7516,207903716999403,CT,S,+38.9946575,Census Tract 7516,81354.0,751600,-076.5914859,2770.0,20048699.0,-076.6004760,G5020,M,003,,,
6474.0,24003731306,+39.1446328,9011182.0,24,7313.06,20790266674976,CT,S,+39.1446590,Census Tract 7313.06,74626.0,731306,-076.4763116,2532.0,16004746.0,-076.4656159,G5020,U,003,,,
4538.0,25027757500,+42.0512817,1383205.0,25,7575,20790515417619,CT,S,+42.0488047,Census Tract 7575,52533.0,757500,-072.0333832,1979.0,38870417.0,-072.0300847,G5020,M,027,,,
3283.0,02110000500,+58.3769738,525894243.0,02,5,2079045059743,CT,S,+58.2840009,Census Tract 5,36192.0,000500,-133.9481350,1972.0,4947571855.0,-133.7864644,G5020,M,110,,,
4536.0,27003050116,+45.3420935,3982016.0,27,501.16,20790204137165,CT,S,+45.3431162,Census Tract 501.16,66989.0,050116,-093.4495051,1556.0,87166399.0,-093.4495531,G5020,R,003,,,
6767.0,27003050228,+45.2381300,986012.0,27,502.28,20790204137525,CT,S,+45.2403053,Census Tract 502.28,67105.0,050228,-093.4548534,2724.0,16285236.0,-093.4604605,G5020,M,003,,,
1387.0,31041972000,+41.2161740,158243.0,31,9720,20790119984707,CT,S,+41.2113678,Census Tract 9720,36037.0,972000,-099.4409535,697.0,1109223728.0,-099.4403344,G5020,R,041,,,
4726.0,23025966500,+44.8323766,7613725.0,23,9665,20790107685866,CT,S,+44.8263541,Census Tract 9665,6371.0,966500,-069.8056169,2385.0,134378091.0,-069.7997127,G5020,M,025,,,
2783.0,37007920100,+34.9856443,11326382.0,37,9201,20790142438551,CT,S,+34.9873922,Census Tract 9201,1452.0,920100,-079.9404277,1346.0,263233070.0,-079.9330024,G5020,R,007,,,
6645.0,25027735100,+42.2414833,2127102.0,25,7351,20790515417434,CT,S,+42.2402537,Census Tract 7351,52242.0,735100,-071.9265244,2609.0,36393380.0,-071.9262509,G5020,M,027,,,
2060.0,27083360700,+44.2388845,122742.0,27,3607,20790230250043,CT,S,+44.2382404,Census Tract 3607,41658.0,360700,-095.6136533,976.0,10314925.0,-095.6118905,G5020,R,083,,,
5753.0,09011716102,+41.3973769,1222159.0,09,7161.02,20790350078662,CT,S,+41.3983091,Census Tract 7161.02,80271.0,716102,-072.2387790,2323.0,40596086.0,-072.2452499,G5020,M,011,,,
2733.0,06037901216,+34.6776638,93301.0,06,9012.16,2079015902970055,CT,S,+34.6777567,Census Tract 9012.16,12722.0,901216,-118.2848583,874.0,41422613.0,-118.2827356,G5020,M,037,,,
2733.0,06037901216,+34.6776638,93301.0,06,9012.16,2079015902970055,CT,S,+34.6777567,Census Tract 9012.16,12722.0,901216,-118.2848583,874.0,41422613.0,-118.2827356,G5020,M,037,,,
2733.0,06037901216,+34.6776638,93301.0,06,9012.16,2079015902970055,CT,S,+34.6777567,Census Tract 9012.16,12722.0,901216,-118.2848583,874.0,41422613.0,-118.2827356,G5020,M,037,,,
2951.0,06037900901,+34.7323029,510021.0,06,9009.01,2079015902970344,CT,S,+34.7258225,Census Tract 9009.01,11981.0,900901,-118.2437671,1051.0,94129763.0,-118.2459383,G5020,M,037,,,
2951.0,06037900901,+34.7323029,510021.0,06,9009.01,2079015902970344,CT,S,+34.7258225,Census Tract 9009.01,11981.0,900901,-118.2437671,1051.0,94129763.0,-118.2459383,G5020,M,037,,,
2951.0,06037900901,+34.7323029,510021.0,06,9009.01,2079015902970344,CT,S,+34.7258225,Census Tract 9009.01,11981.0,900901,-118.2437671,1051.0,94129763.0,-118.2459383,G5020,M,037,,,
2951.0,06037900901,+34.7323029,510021.0,06,9009.01,2079015902970344,CT,S,+34.7258225,Census Tract 9009.01,11981.0,900901,-118.2437671,1051.0,94129763.0,-118.2459383,G5020,M,037,,,
2951.0,06037900901,+34.7323029,510021.0,06,9009.01,2079015902970344,CT,S,+34.7258225,Census Tract 9009.01,11981.0,900901,-118.2437671,1051.0,94129763.0,-118.2459383,G5020,M,037,,,
2675.0,48189950900,+33.9106302,132501.0,48,9509,20790310187755,CT,S,+33.9097905,Census Tract 9509,40190.0,950900,-101.9118060,1128.0,606959626.0,-101.9100343,G5020,R,189,,,
2778.0,38057961800,+47.3094555,180390203.0,38,9618,207903690859940,CT,S,+47.3071473,Census Tract 9618,47573.0,961800,-101.8348120,1835.0,2621875906.0,-101.8333279,G5020,R,057,,,
