POP100,GEOID,CENTLAT,AREAWATER,STATE,BASENAME,OID,LSADC,FUNCSTAT,INTPTLAT,NAME,OBJECTID,TRACT,CENTLON,HU100,AREALAND,INTPTLON,MTFCC,UR,COUNTY
4042,37049960502,+35.1526507,3162183,37,9605.02,2079015496792454,CT,S,+35.1518375,Census Tract 9605.02,28476,960502,-077.1020052,1898,25533720,-077.1044713,G5020,M,049
3482,31179978600,+42.2083289,949188,31,9786,20790304297303,CT,S,+42.2107460,Census Tract 9786,14994,978600,-097.1237002,1531,1105916319,-097.1262433,G5020,R,179
3818,05093011000,+35.7061541,991799,05,110,2079086077393,CT,S,+35.7064489,Census Tract 110,24991,011000,-089.9662358,1959,23788522,-089.9657962,G5020,M,093
4858,16009940000,+47.2483534,15797601,16,9400,20790131645190,CT,S,+47.2457259,Census Tract 9400,78321,940000,-116.8244097,2363,950871811,-116.8231532,G5020,R,009
8072,34029718000,+40.0750879,520164,34,7180,20790537525777,CT,S,+40.0710312,Census Tract 7180,71355,718000,-074.4949268,3139,53929655,-074.5001409,G5020,R,029
2930,25023543100,+41.9634534,1099161,25,5431,20790213682512,CT,S,+41.9591000,Census Tract 5431,54366,543100,-070.8097331,1068,38023287,-070.8027525,G5020,M,023
4447,25023530100,+41.9484561,335379,25,5301,20790213682353,CT,S,+41.9523965,Census Tract 5301,54515,530100,-070.7144020,2049,10891462,-070.7006983,G5020,M,023
2653,37187950201,+35.8814389,409660,37,9502.01,2079015482768587,CT,S,+35.8791358,Census Tract 9502.01,19594,950201,-076.7203836,1422,24185932,-076.7187940,G5020,R,187
3338,33009961001,+43.7781103,898826,33,9610.01,2079015488640638,CT,S,+43.7826625,Census Tract 9610.01,14083,961001,-071.7216185,788,15600299,-071.7277273,G5020,M,009
3052,19149970400,+42.8477343,37884,19,9704,20790365048880,CT,S,+42.8456303,Census Tract 9704,50118,970400,-096.0272317,1281,391778895,-096.0319251,G5020,R,149
