POP100,GEOID,CENTLAT,AREAWATER,STATE,BASENAME,OID,LSADC,FUNCSTAT,INTPTLAT,NAME,OBJECTID,TRACT,CENTLON,HU100,AREALAND,INTPTLON,MTFCC,UR,COUNTY
5822,32001950700,+39.3268998,24857410,32,9507,207903708378918,CT,S,+39.3104947,Census Tract 9507,51192,950700,-118.8752866,2432,1003011318,-118.8863319,G5020,M,001
5134,55057100400,+43.8412506,3800061,55,1004,20790451171523,CT,S,+43.8375261,Census Tract 1004,55033,100400,-090.0351968,2057,201265880,-090.0312976,G5020,R,057
5134,55057100400,+43.8412506,3800061,55,1004,20790451171523,CT,S,+43.8375261,Census Tract 1004,55033,100400,-090.0351968,2057,201265880,-090.0312976,G5020,R,057
2090,29143960400,+36.5098793,21561597,29,9604,20790300317599,CT,S,+36.5088909,Census Tract 9604,30040,960400,-089.6641022,1006,377022336,-089.6662818,G5020,R,143
4931,39071955200,+39.0996750,72979,39,9552,20790405595368,CT,S,+39.0925097,Census Tract 9552,61187,955200,-083.7713390,2037,270231500,-083.7737187,G5020,R,071
3589,54103004900,+39.6771403,2555956,54,49,20790786403397,CT,S,+39.6683971,Census Tract 49,40396,004900,-080.8417948,1788,19799432,-080.8402509,G5020,M,103
2314,06009000124,+37.9754262,7788448,06,1.24,2079015682258440,CT,S,+37.9730607,Census Tract 1.24,10464,000124,-120.6775997,1143,404991903,-120.6793935,G5020,R,009
930,35013001900,+32.5915352,7922009,35,19,20790292036109,CT,S,+32.5985684,Census Tract 19,43546,001900,-106.5081611,354,2417781756,-106.5099348,G5020,R,013
2781,35037958900,+35.1030568,17127116,35,9589,207903717178813,CT,S,+35.1070184,Census Tract 9589,84047,958900,-103.5494051,2211,7377212412,-103.5480713,G5020,M,037
5039,09005425700,+41.5713577,672562,09,4257,2079015672492056,CT,S,+41.5689674,Census Tract 4257,59558,425700,-073.4280216,2295,17360266,-073.4305145,G5020,M,005
3778,27145010500,+45.6652096,10377851,27,105,20790422042357,CT,S,+45.6685197,Census Tract 105,35576,010500,-094.7490640,1594,271730877,-094.7474117,G5020,R,145
1044,22071001751,+30.0301431,4725188,22,17.51,207903710326561,CT,S,+30.0292981,Census Tract 17.51,53376,001751,-089.9108413,491,42200749,-089.9106110,G5020,M,071
1044,22071001751,+30.0301431,4725188,22,17.51,207903710326561,CT,S,+30.0292981,Census Tract 17.51,53376,001751,-089.9108413,491,42200749,-089.9106110,G5020,M,071
3582,27079950101,+44.5366426,0,27,9501.01,2079015488726409,CT,S,+44.5366426,Census Tract 9501.01,26431,950101,-093.5550759,1364,7536710,-093.5550759,G5020,M,079
2831,51155210102,+37.1788235,983768,51,2101.02,2079015501991389,CT,S,+37.1788838,Census Tract 2101.02,10644,210102,-080.6581627,1313,92159453,-080.6591752,G5020,M,155
4067,54081001500,+37.8441403,491292,54,15,20790983713500,CT,S,+37.8377962,Census Tract 15,41023,001500,-081.1374484,1903,56831301,-081.1442479,G5020,M,081
7969,34023008403,+40.3988111,641,34,84.03,20790423994877,CT,S,+40.3956276,Census Tract 84.03,51272,008403,-074.5780725,2787,8374970,-074.5810374,G5020,M,023
4984,22077951900,+30.7039466,11310327,22,9519,2079070542690,CT,S,+30.6965779,Census Tract 9519,59647,951900,-091.4746104,2350,149637135,-091.4758124,G5020,M,077
2505,02070000100,+59.7119094,5936695135,02,1,2079045529223,CT,S,+59.5433255,Census Tract 1,36089,000100,-158.3698162,1363,47075050600,-158.2671226,G5020,R,070
1893,27015960101,+44.3176846,58582,27,9601.01,207903143909626,CT,S,+44.3169346,Census Tract 9601.01,74507,960101,-094.4585562,1027,2264606,-094.4575096,G5020,U,015
2287,36061025100,+40.8403260,0,36,251,20790460863964,CT,S,+40.8403260,Census Tract 251,17038,025100,-073.9399227,897,159422,-073.9399227,G5020,U,061
6170,36091062700,+42.8050867,1995127,36,627,20790725057067,CT,S,+42.8041515,Census Tract 627,36588,062700,-073.6923769,2862,16275173,-073.6872928,G5020,M,091
1302,36061024000,+40.7901646,793007,36,240,20790460863888,CT,S,+40.7888821,Census Tract 240,11972,024000,-073.9227928,28,2183933,-073.9219304,G5020,U,061
4000,06071012700,+34.0490495,0,06,127,207903716836867,CT,S,+34.0490495,Census Tract 127,47955,012700,-117.5557698,1399,26807884,-117.5557698,G5020,U,071
