POP100,GEOID,CENTLAT,AREAWATER,STATE,BASENAME,OID,LSADC,FUNCSTAT,INTPTLAT,NAME,OBJECTID,TRACT,CENTLON,HU100,AREALAND,INTPTLON,MTFCC,UR,COUNTY,error,lat,lng
2951.0,06037900901,+34.7323029,510021.0,06,9009.01,2079015902970344,CT,S,+34.7258225,Census Tract 9009.01,11981.0,900901,-118.2437671,1051.0,94129763.0,-118.2459383,G5020,M,037,,,
4690.0,17031804514,+41.9942271,79284.0,17,8045.14,2079015665088796,CT,S,+41.9987533,Census Tract 8045.14,13574.0,804514,-088.2333574,1670.0,6677232.0,-088.2307015,G5020,M,031,,,
6140.0,02180000100,+64.8470421,13216724543.0,02,1,2079051329058,CT,S,+64.7836858,Census Tract 1,28941.0,000100,-164.2082823,2295.0,57583438151.0,-164.1889119,G5020,R,180,,,
4336.0,50017959500,+43.9274404,1118704.0,50,9595,20790489679986,CT,S,+43.9272773,Census Tract 9595,54090.0,959500,-072.4112847,2388.0,427013088.0,-072.4070807,G5020,R,017,,,
4769.0,51550021403,+36.7842406,1167484.0,51,214.03,20790606606208,CT,S,+36.7762252,Census Tract 214.03,34317.0,021403,-076.3173697,1901.0,6356228.0,-076.3160155,G5020,U,550,,,
299.0,34039980000,+40.6719499,1451505.0,34,9800,2079015646572264,CT,S,+40.6726095,Census Tract 9800,19508.0,980000,-074.1689948,36.0,13255733.0,-074.1686583,G5020,U,039,,,
5864.0,42071010602,+40.1429575,192026.0,42,106.02,2079015483058185,CT,S,+40.1415460,Census Tract 106.02,14254.0,010602,-076.5383332,2373.0,31854388.0,-076.5361179,G5020,M,071,,,
5292.0,56029965100,+44.7461252,3241555.0,56,9651,20790242471427,CT,S,+44.7478750,Census Tract 9651,44533.0,965100,-108.7877406,2230.0,1729036610.0,-108.7873203,G5020,M,029,,,
3442.0,40129960000,+35.6882399,13688537.0,40,9600,20790439410304,CT,S,+35.7085544,Census Tract 9600,42194.0,960000,-099.6958032,1852.0,2955524813.0,-099.7415716,G5020,R,129,,,
4842.0,31055007505,+41.3475545,1218302.0,31,75.05,20790317153910,CT,S,+41.3465244,Census Tract 75.05,10051.0,007505,-096.2492834,1608.0,82825315.0,-096.2439752,G5020,M,055,,,
5969.0,42055011500,+39.8728783,111230.0,42,115,20790262115420,CT,S,+39.8774765,Census Tract 115,34193.0,011500,-077.8853374,2634.0,146877599.0,-077.8917930,G5020,R,055,,,
